goal_type,date,comp,round,venue,scorer,opponent,starter,minute_text,minute_base,added_time,match_minute,score,score_before_home,score_before_away,goalkeeper,assist,notes
For,2025-08-06,Champions Lg,Third qualifying round,Away,Franjo Ivanović,Nice,TRUE,53,53,0,53,0-0,0,0,Yehvann Diouf,Fredrik Aursnes,NA
For,2025-08-06,Champions Lg,Third qualifying round,Away,Florentino Luís,Nice,FALSE,88,88,0,88,1-0,1,0,Yehvann Diouf,Samuel Dahl,NA
For,2025-08-12,Champions Lg,Third qualifying round,Home,Fredrik Aursnes,Nice,TRUE,18,18,0,18,0-0,0,0,Yehvann Diouf,Andreas Schjelderup,NA
For,2025-08-12,Champions Lg,Third qualifying round,Home,Andreas Schjelderup,Nice,TRUE,27,27,0,27,1-0,1,0,Yehvann Diouf,Fredrik Aursnes,NA
For,2025-08-16,Primeira Liga,Matchweek 2,Away,Vangelis Pavlidis,Estrela,TRUE,60,60,0,60,0-0,0,0,Renan Ribeiro,NA,NA
For,2025-08-23,Primeira Liga,Matchweek 3,Home,Franjo Ivanović,Tondela,TRUE,31,31,0,31,0-0,0,0,Bernardo Fontes,Amar Dedić,NA
For,2025-08-23,Primeira Liga,Matchweek 3,Home,Fredrik Aursnes,Tondela,TRUE,42,42,0,42,1-0,1,0,Bernardo Fontes,Andreas Schjelderup,NA
For,2025-08-23,Primeira Liga,Matchweek 3,Home,Gianluca Prestianni,Tondela,FALSE,90+6,90,6,96,2-0,2,0,Bernardo Fontes,NA,NA
For,2025-08-27,Champions Lg,Play-off round,Home,Kerem Aktürkoğlu,Fenerbahçe,TRUE,35,35,0,35,0-0,0,0,Dominik Livaković,Leandro Barreiro Martins,NA
For,2025-08-31,Primeira Liga,Matchweek 4,Away,Andreas Schjelderup,Alverca,TRUE,5,5,0,5,0-0,0,0,Matheus Mendes,NA,NA
For,2025-08-31,Primeira Liga,Matchweek 4,Away,Amar Dedić,Alverca,TRUE,44,44,0,44,1-0,1,0,Matheus Mendes,Leandro Barreiro Martins,NA
For,2025-09-12,Primeira Liga,Matchweek 5,Home,Vangelis Pavlidis,Santa Clara,TRUE,59,59,0,59,0-0,0,0,Gabriel Batista,NA,NA
For,2025-09-16,Champions Lg,League phase,Home,Enzo Barrenechea,Qarabağ,TRUE,6,6,0,6,0-0,0,0,Mateusz Kochalski,Heorhiy Sudakov,NA
For,2025-09-16,Champions Lg,League phase,Home,Vangelis Pavlidis,Qarabağ,TRUE,16,16,0,16,1-0,1,0,Mateusz Kochalski,NA,NA
For,2025-09-20,Primeira Liga,Matchweek 6,Away,Heorhiy Sudakov,AVS Futebol,TRUE,45+3,45,3,48,0-0,0,0,Simão Bertelli,Vangelis Pavlidis,NA
For,2025-09-20,Primeira Liga,Matchweek 6,Away,Vangelis Pavlidis,AVS Futebol,TRUE,59,59,0,59,1-0,1,0,Simão Bertelli,NA,NA
For,2025-09-20,Primeira Liga,Matchweek 6,Away,Franjo Ivanović,AVS Futebol,TRUE,64,64,0,64,2-0,2,0,Simão Bertelli,Vangelis Pavlidis,NA
For,2025-09-23,Primeira Liga,Matchweek 1,Home,Heorhiy Sudakov,Rio Ave,TRUE,86,86,0,86,0-0,0,0,Cezary Miszta,Dodi Lukebakio,NA
For,2025-09-26,Primeira Liga,Matchweek 7,Home,Vangelis Pavlidis,Gil Vicente FC,TRUE,18,18,0,18,0-1,0,1,Andrew,NA,NA
For,2025-09-26,Primeira Liga,Matchweek 7,Home,Vangelis Pavlidis,Gil Vicente FC,TRUE,26,26,0,26,1-1,1,1,Andrew,NA,NA
For,2025-10-25,Primeira Liga,Matchweek 9,Home,Vangelis Pavlidis,Arouca,TRUE,9,9,0,9,0-0,0,0,João Valido,NA,NA
For,2025-10-25,Primeira Liga,Matchweek 9,Home,Vangelis Pavlidis,Arouca,TRUE,22,22,0,22,1-0,1,0,João Valido,NA,NA
For,2025-10-25,Primeira Liga,Matchweek 9,Home,Nicolás Otamendi,Arouca,TRUE,45+6,45,6,51,2-0,2,0,João Valido,Dodi Lukebakio,NA
For,2025-10-25,Primeira Liga,Matchweek 9,Home,Vangelis Pavlidis,Arouca,TRUE,50,50,0,50,3-0,3,0,João Valido,Gianluca Prestianni,NA
For,2025-10-25,Primeira Liga,Matchweek 9,Home,Franjo Ivanović,Arouca,FALSE,90+3,90,3,93,4-0,4,0,João Valido,NA,NA
For,2025-11-01,Primeira Liga,Matchweek 10,Away,Tomás Araújo,Vit. Guimarães,TRUE,53,53,0,53,0-0,0,0,Juan Castillo,Dodi Lukebakio,NA
For,2025-11-01,Primeira Liga,Matchweek 10,Away,Samuel Dahl,Vit. Guimarães,TRUE,62,62,0,62,1-0,1,0,Juan Castillo,Leandro Barreiro Martins,NA
For,2025-11-01,Primeira Liga,Matchweek 10,Away,João Rêgo,Vit. Guimarães,FALSE,87,87,0,87,2-0,2,0,Juan Castillo,NA,NA
For,2025-11-09,Primeira Liga,Matchweek 11,Home,Heorhiy Sudakov,Casa Pia,TRUE,17,17,0,17,0-0,0,0,Patrick Sequeira,Vangelis Pavlidis,NA
For,2025-11-09,Primeira Liga,Matchweek 11,Home,Vangelis Pavlidis,Casa Pia,TRUE,60,60,0,60,1-0,1,0,Patrick Sequeira,NA,NA
For,2025-11-25,Champions Lg,League phase,Away,Samuel Dahl,Ajax,TRUE,6,6,0,6,0-0,0,0,Vitezslav Jaros,NA,NA
For,2025-11-25,Champions Lg,League phase,Away,Leandro Barreiro Martins,Ajax,TRUE,90,90,0,90,1-0,1,0,Vitezslav Jaros,Fredrik Aursnes,NA
For,2025-11-29,Primeira Liga,Matchweek 12,Away,Gianluca Prestianni,Nacional,FALSE,89,89,0,89,0-1,0,1,Kaique,Amar Dedić,NA
For,2025-11-29,Primeira Liga,Matchweek 12,Away,Vangelis Pavlidis,Nacional,TRUE,90+5,90,5,95,1-1,1,1,Kaique,Andreas Schjelderup,NA
For,2025-12-05,Primeira Liga,Matchweek 13,Home,Heorhiy Sudakov,Sporting CP,TRUE,27,27,0,27,0-1,0,1,Rui Silva,Amar Dedić,NA
For,2025-12-10,Champions Lg,League phase,Home,Richard Ríos,Napoli,TRUE,20,20,0,20,0-0,0,0,Vanja Milinković-Savić,NA,NA
For,2025-12-10,Champions Lg,League phase,Home,Leandro Barreiro Martins,Napoli,TRUE,49,49,0,49,1-0,1,0,Vanja Milinković-Savić,Richard Ríos,NA
For,2025-12-14,Primeira Liga,Matchweek 14,Away,Vangelis Pavlidis,Moreirense,TRUE,36,36,0,36,0-0,0,0,André Ferreira,Fredrik Aursnes,NA
For,2025-12-14,Primeira Liga,Matchweek 14,Away,Vangelis Pavlidis,Moreirense,TRUE,57,57,0,57,1-0,1,0,André Ferreira,Fredrik Aursnes,NA
For,2025-12-14,Primeira Liga,Matchweek 14,Away,Vangelis Pavlidis,Moreirense,TRUE,70,70,0,70,2-0,2,0,André Ferreira,NA,NA
For,2025-12-14,Primeira Liga,Matchweek 14,Away,Fredrik Aursnes,Moreirense,TRUE,76,76,0,76,3-0,3,0,André Ferreira,NA,NA
For,2025-12-22,Primeira Liga,Matchweek 15,Home,Vangelis Pavlidis,Famalicão,TRUE,34,34,0,34,0-0,0,0,Lazar Carević,NA,NA
For,2025-12-28,Primeira Liga,Matchweek 16,Away,Nicolás Otamendi,Braga,TRUE,29,29,0,29,0-0,0,0,Lukáš Horníček,NA,NA
For,2025-12-28,Primeira Liga,Matchweek 16,Away,Fredrik Aursnes,Braga,TRUE,53,53,0,53,1-2,1,2,Lukáš Horníček,Vangelis Pavlidis,NA
For,2026-01-03,Primeira Liga,Matchweek 17,Home,Vangelis Pavlidis,Estoril,TRUE,34,34,0,34,0-0,0,0,Joel Robles,NA,NA
For,2026-01-03,Primeira Liga,Matchweek 17,Home,Vangelis Pavlidis,Estoril,TRUE,45+1,45,1,46,1-0,1,0,Joel Robles,Leandro Barreiro Martins,NA
For,2026-01-03,Primeira Liga,Matchweek 17,Home,Vangelis Pavlidis,Estoril,TRUE,80,80,0,80,2-1,2,1,Joel Robles,NA,NA
For,2026-01-17,Primeira Liga,Matchweek 18,Away,Leandro Barreiro Martins,Rio Ave,TRUE,16,16,0,16,0-0,0,0,Cezary Miszta,Heorhiy Sudakov,NA
For,2026-01-17,Primeira Liga,Matchweek 18,Away,Andreas Ntoi (OG),Rio Ave,TRUE,25,25,0,25,1-0,1,0,Cezary Miszta,NA,Own Goal
For,2026-01-25,Primeira Liga,Matchweek 19,Home,Vangelis Pavlidis,Estrela,TRUE,42,42,0,42,0-0,0,0,Renan Ribeiro,Sidny Lopes Cabral,NA
For,2026-01-25,Primeira Liga,Matchweek 19,Home,Vangelis Pavlidis,Estrela,TRUE,55,55,0,55,1-0,1,0,Renan Ribeiro,NA,NA
For,2026-01-25,Primeira Liga,Matchweek 19,Home,Sidny Lopes Cabral,Estrela,TRUE,58,58,0,58,2-0,2,0,Renan Ribeiro,NA,NA
For,2026-01-25,Primeira Liga,Matchweek 19,Home,Anísio Cabral,Estrela,FALSE,84,84,0,84,3-0,3,0,Renan Ribeiro,NA,NA
For,2026-01-28,Champions Lg,League phase,Home,Andreas Schjelderup,Real Madrid,TRUE,36,36,0,36,0-1,0,1,Thibaut Courtois,Vangelis Pavlidis,NA
For,2026-01-28,Champions Lg,League phase,Home,Vangelis Pavlidis,Real Madrid,TRUE,45+5,45,5,50,1-1,1,1,Thibaut Courtois,NA,NA
For,2026-01-28,Champions Lg,League phase,Home,Andreas Schjelderup,Real Madrid,TRUE,54,54,0,54,2-1,2,1,Thibaut Courtois,Vangelis Pavlidis,NA
For,2026-01-28,Champions Lg,League phase,Home,Anatolii Trubin,Real Madrid,TRUE,90+8,90,8,98,3-2,3,2,Thibaut Courtois,Fredrik Aursnes,NA
For,2026-02-08,Primeira Liga,Matchweek 21,Home,Andreas Schjelderup,Alverca,TRUE,16,16,0,16,0-0,0,0,Matheus Mendes,NA,NA
For,2026-02-08,Primeira Liga,Matchweek 21,Home,Anísio Cabral,Alverca,FALSE,86,86,0,86,1-1,1,1,Matheus Mendes,Samuel Dahl,NA
For,2026-02-13,Primeira Liga,Matchweek 22,Away,Vangelis Pavlidis,Santa Clara,TRUE,16,16,0,16,0-0,0,0,Gabriel Batista,Tomás Araújo,NA
For,2026-02-13,Primeira Liga,Matchweek 22,Away,Paulo Victor (OG),Santa Clara,TRUE,38,38,0,38,1-0,1,0,Gabriel Batista,NA,Own Goal
For,2026-02-21,Primeira Liga,Matchweek 23,Home,Alexander Bah,AVS Futebol,TRUE,11,11,0,11,0-0,0,0,Adriel,NA,NA
For,2026-02-21,Primeira Liga,Matchweek 23,Home,Enzo Barrenechea,AVS Futebol,TRUE,30,30,0,30,1-0,1,0,Adriel,Richard Ríos,NA
For,2026-02-21,Primeira Liga,Matchweek 23,Home,Rafa Silva,AVS Futebol,TRUE,43,43,0,43,2-0,2,0,Adriel,Sidny Lopes Cabral,NA
For,2026-02-25,Champions Lg,Knockout phase play-offs,Away,Rafa Silva,Real Madrid,TRUE,14,14,0,14,0-0,0,0,Thibaut Courtois,NA,NA
For,2026-03-02,Primeira Liga,Matchweek 24,Away,António Silva,Gil Vicente FC,TRUE,35,35,0,35,0-0,0,0,Lucão,Fredrik Aursnes,NA
For,2026-03-02,Primeira Liga,Matchweek 24,Away,Andreas Schjelderup,Gil Vicente FC,TRUE,73,73,0,73,1-1,1,1,Lucão,NA,NA
For,2026-03-08,Primeira Liga,Matchweek 25,Home,Andreas Schjelderup,Porto,TRUE,69,69,0,69,0-2,0,2,Diogo Costa,NA,NA
For,2026-03-08,Primeira Liga,Matchweek 25,Home,Leandro Barreiro Martins,Porto,FALSE,88,88,0,88,1-2,1,2,Diogo Costa,Franjo Ivanović,NA
For,2026-03-14,Primeira Liga,Matchweek 26,Away,Richard Ríos,Arouca,TRUE,50,50,0,50,0-1,0,1,Ignacio De Arruabarrena,Andreas Schjelderup,NA
For,2026-03-14,Primeira Liga,Matchweek 26,Away,Franjo Ivanović,Arouca,FALSE,90+6,90,6,96,1-1,1,1,Ignacio De Arruabarrena,Gianluca Prestianni,NA
For,2026-03-21,Primeira Liga,Matchweek 27,Home,Gianluca Prestianni,Vit. Guimarães,TRUE,14,14,0,14,0-0,0,0,Charles,Richard Ríos,NA
For,2026-03-21,Primeira Liga,Matchweek 27,Home,Vangelis Pavlidis,Vit. Guimarães,TRUE,55,55,0,55,1-0,1,0,Charles,Richard Ríos,NA
For,2026-03-21,Primeira Liga,Matchweek 27,Home,Beni (OG),Vit. Guimarães,TRUE,74,74,0,74,2-0,2,0,Charles,NA,Own Goal
For,2026-04-06,Primeira Liga,Matchweek 28,Away,Richard Ríos,Casa Pia,TRUE,68,68,0,68,0-0,0,0,Patrick Sequeira,Andreas Schjelderup,NA
For,2026-04-12,Primeira Liga,Matchweek 29,Home,Andreas Schjelderup,Nacional,TRUE,3,3,0,3,0-0,0,0,Kaique,Gianluca Prestianni,NA
For,2026-04-12,Primeira Liga,Matchweek 29,Home,Rafa Silva,Nacional,TRUE,14,14,0,14,1-0,1,0,Kaique,Gianluca Prestianni,NA
For,2026-04-19,Primeira Liga,Matchweek 30,Away,Andreas Schjelderup,Sporting CP,TRUE,27,27,0,27,0-0,0,0,Rui Silva,NA,NA
For,2026-04-19,Primeira Liga,Matchweek 30,Away,Rafa Silva,Sporting CP,FALSE,90+3,90,3,93,1-1,1,1,Rui Silva,Leandro Barreiro Martins,NA
For,2026-04-25,Primeira Liga,Matchweek 31,Home,Leandro Barreiro Martins,Moreirense,TRUE,2,2,0,2,0-0,0,0,André Ferreira,António Silva,NA
For,2026-04-25,Primeira Liga,Matchweek 31,Home,Richard Ríos,Moreirense,TRUE,29,29,0,29,1-1,1,1,André Ferreira,Leandro Barreiro Martins,NA
For,2026-04-25,Primeira Liga,Matchweek 31,Home,Franjo Ivanović,Moreirense,FALSE,89,89,0,89,2-1,2,1,André Ferreira,Richard Ríos,NA
For,2026-04-25,Primeira Liga,Matchweek 31,Home,Franjo Ivanović,Moreirense,FALSE,90+2,90,2,92,3-1,3,1,André Ferreira,Amar Dedić,NA
For,2026-05-02,Primeira Liga,Matchweek 32,Away,Andreas Schjelderup,Famalicão,TRUE,12,12,0,12,0-0,0,0,Lazar Carević,NA,NA
For,2026-05-02,Primeira Liga,Matchweek 32,Away,Richard Ríos,Famalicão,TRUE,19,19,0,19,1-0,1,0,Lazar Carević,Andreas Schjelderup,NA
For,2026-05-11,Primeira Liga,Matchweek 33,Home,Rafa Silva,Braga,TRUE,46,46,0,46,0-0,0,0,Lukáš Horníček,NA,NA
For,2026-05-11,Primeira Liga,Matchweek 33,Home,Vangelis Pavlidis,Braga,FALSE,90+5,90,5,95,1-2,1,2,Lukáš Horníček,NA,NA
For,2026-05-16,Primeira Liga,Matchweek 34,Away,Richard Ríos,Estoril,TRUE,7,7,0,7,0-0,0,0,Joel Robles,NA,NA
For,2026-05-16,Primeira Liga,Matchweek 34,Away,Alexander Bah,Estoril,TRUE,15,15,0,15,1-0,1,0,Joel Robles,Tomás Araújo,NA
For,2026-05-16,Primeira Liga,Matchweek 34,Away,Rafa Silva,Estoril,TRUE,16,16,0,16,2-0,2,0,Joel Robles,Gianluca Prestianni,NA
