player,nation,pos,age,miscellaneous__x90s,miscellaneous__crd_y,miscellaneous__crd_r,miscellaneous__x2crd_y,miscellaneous__fls,miscellaneous__fld,miscellaneous__off,miscellaneous__crs,miscellaneous__int,miscellaneous__tkl_w,miscellaneous__p_kwon,miscellaneous__p_kcon,miscellaneous__og,player_id
Anatolii Trubin,ua UKR,GK,23,42,2,0,0,0,10,0,0,0,0,NA,NA,0,41f0b196
Samuel Dahl,se SWE,DF,22,40.5,5,0,0,30,33,3,73,31,74,NA,NA,0,bbe7d20b
Nicolás Otamendi,ar ARG,DF,37,38.9,10,1,0,34,50,0,8,59,40,NA,NA,0,0d267745
Vangelis Pavlidis,gr GRE,FW,26,38.5,3,0,0,20,50,20,13,3,14,NA,NA,0,d578db11
Fredrik Aursnes,no NOR,MF,29,35,3,0,0,31,18,5,120,40,40,NA,NA,0,f0677ed7
Richard Ríos,co COL,MF,25,32.2,11,0,0,57,80,1,24,30,34,NA,NA,1,72da065d
Amar Dedić,ba BIH,DF,22,30.1,6,2,1,29,27,1,44,26,36,NA,NA,0,bc6e544a
Leandro Barreiro Martins,lu LUX,MF,25,26.5,2,0,0,45,64,6,6,24,27,NA,NA,0,00242b75
Enzo Barrenechea,ar ARG,MF,24,26.3,8,0,0,39,43,0,3,47,36,NA,NA,0,6caffe81
Tomás Araújo,pt POR,DF,23,26,4,0,0,10,2,0,8,40,29,NA,NA,1,0fa11d7d
António Silva,pt POR,DF,21,24.7,6,0,0,25,21,0,5,33,23,NA,NA,0,8f0435c7
Andreas Schjelderup,no NOR,MF,21,23.8,2,0,0,31,41,4,86,3,18,NA,NA,0,a427724f
Heorhiy Sudakov,ua UKR,MFFW,22,22.9,3,0,0,19,49,1,151,10,12,NA,NA,0,a793f5a8
Gianluca Prestianni,ar ARG,MF,19,20.3,9,1,0,21,44,3,83,9,17,NA,NA,0,d203fb17
Rafa Silva,pt POR,MF,32,12,0,0,0,4,29,4,5,1,11,NA,NA,0,70cf63ca
Franjo Ivanović,hr CRO,FW,21,11.6,1,0,0,25,32,7,17,5,7,NA,NA,0,7e3ea311
Dodi Lukebakio,be BEL,MFFW,27,11.3,3,0,0,13,15,3,86,6,8,NA,NA,0,0c61c77c
Alexander Bah,dk DEN,DFMF,27,5.2,2,0,0,9,9,0,8,7,5,NA,NA,0,78f21137
Sidny Lopes Cabral,cv CPV,DFMF,22,4.1,1,0,0,7,10,0,57,1,5,NA,NA,0,20700569
Samuel Soares,pt POR,GK,23,2,1,0,0,0,0,0,0,0,0,NA,NA,0,244ff834
Daniel Banjaqui,pt POR,DF,17,1.7,0,0,0,2,2,0,6,1,3,NA,NA,0,02546e9e
Manuel Manu,pt POR,MF,24,1.4,0,0,0,8,0,0,0,3,1,NA,NA,0,4c2a65a8
Rodrigo Rego,pt POR,FW,20,1.3,0,0,0,5,2,0,7,0,2,NA,NA,0,4a04b70b
José Neto,pt POR,DF,17,1.1,0,0,0,1,3,1,1,1,1,NA,NA,0,ef553796
João Rêgo,pt POR,MF,20,0.9,0,0,0,3,5,2,2,0,2,NA,NA,0,24c4694a
Rafel Obrador,es ESP,DF,21,0.7,0,0,0,1,0,0,8,2,0,NA,NA,0,949c3655
Anísio Cabral,pt POR,FW,17,0.5,0,0,0,1,2,0,1,0,0,NA,NA,0,04d9d513
Florentino Luís,pt POR,MF,25,0.4,0,0,0,2,0,0,0,1,1,NA,NA,0,881cd6be
Henrique Araújo,pt POR,FW,23,0.4,0,0,0,1,1,0,0,0,0,NA,NA,0,353eb529
Diogo Prioste,pt POR,MF,21,0.3,0,0,0,0,1,0,0,0,0,NA,NA,0,840ceefa
Kerem Aktürkoğlu,tr TUR,FWMF,26,0.3,0,0,0,0,1,0,3,0,0,NA,NA,0,f28659fb
Bruma,pt POR,FWMF,30,0.2,0,0,0,1,0,1,2,0,0,NA,NA,0,5caa62a7
Ivan Lima,pt POR,FW,20,0.2,0,0,0,0,0,0,2,0,0,NA,NA,0,8d429bba
João Veloso,pt POR,MF,20,0,0,0,0,0,0,0,0,0,0,NA,NA,0,351a04b5
Tiago Freitas,pt POR,MF,18,0,0,0,0,0,0,0,0,0,0,NA,NA,0,f115bad3
Gonçalo Moreira,pt POR,FW,19,0,0,0,0,0,0,0,0,0,0,NA,NA,0,70c9e842
Tiago Gouveia,pt POR,MF,24,0,0,0,0,0,0,0,0,0,0,NA,NA,0,68cf59f0
