player,nation,pos,age,standard__mp,standard__starts,standard__min,standard__x90s,standard__gls_9,standard__ast_10,standard__g_a_11,standard__g_pk_12,standard__pk,standard__p_katt,standard__crd_y,standard__crd_r,standard__gls_17,standard__ast_18,standard__g_a_19,standard__g_pk_20,standard__g_a_pk,player_id,playing_time__mp,playing_time__min,playing_time__mn_mp,playing_time__min_percent,playing_time__x90s,playing_time__starts,playing_time__mn_start,playing_time__compl,playing_time__subs,playing_time__mn_sub,playing_time__un_sub,playing_time__ppm,playing_time__on_g,playing_time__on_ga,playing_time__x,playing_time__x90,playing_time__on_off,miscellaneous__x90s,miscellaneous__crd_y,miscellaneous__crd_r,miscellaneous__x2crd_y,miscellaneous__fls,miscellaneous__fld,miscellaneous__off,miscellaneous__crs,miscellaneous__int,miscellaneous__tkl_w,miscellaneous__p_kwon,miscellaneous__p_kcon,miscellaneous__og
Anatolii Trubin,ua UKR,GK,23,42,42,3780,42,1,0,1,1,0,0,2,0,0.02,0,0.02,0.02,0.02,41f0b196,42,3780,90,95.5,42,42,90,42,0,NA,2,2.08,80,39,41,0.98,-1.02,42,2,0,0,0,10,0,0,0,0,NA,NA,0
Samuel Dahl,se SWE,DF,22,42,41,3648,40.5,2,1,3,2,0,0,5,0,0.05,0.02,0.07,0.05,0.07,bbe7d20b,42,3648,87,92.1,40.5,41,88,36,1,23,2,2.14,79,36,43,1.06,0.48,40.5,5,0,0,30,33,3,73,31,74,NA,NA,0
Nicolás Otamendi,ar ARG,DF,37,40,40,3503,38.9,2,0,2,2,0,0,10,1,0.05,0,0.05,0.05,0.05,0d267745,40,3503,88,88.5,38.9,40,88,37,0,NA,1,2.14,75,33,42,1.08,0.49,38.9,10,1,0,34,50,0,8,59,40,NA,NA,0
Vangelis Pavlidis,gr GRE,FW,26,43,39,3468,38.5,24,6,30,13,11,13,3,0,0.62,0.16,0.78,0.34,0.49,d578db11,43,3468,81,87.6,38.5,39,87,21,4,21,1,2.15,72,34,38,0.99,-0.29,38.5,3,0,0,20,50,20,13,3,14,NA,NA,0
Fredrik Aursnes,no NOR,MF,29,38,36,3151,35,3,5,8,3,0,0,3,0,0.09,0.14,0.23,0.09,0.23,f0677ed7,38,3151,83,79.6,35,36,87,27,2,14,0,2.1,66,31,35,1,-0.11,35,3,0,0,31,18,5,120,40,40,NA,NA,0
Richard Ríos,co COL,MF,25,35,33,2897,32.2,6,5,11,6,0,0,11,0,0.19,0.16,0.34,0.19,0.34,72da065d,35,2897,83,73.2,32.2,33,87,22,2,20,0,2.1,64,24,40,1.24,0.82,32.2,11,0,0,57,80,1,24,30,34,NA,NA,1
Amar Dedić,ba BIH,DF,22,34,30,2705,30.1,1,4,5,1,0,0,6,2,0.03,0.13,0.17,0.03,0.17,bc6e544a,34,2705,80,68.3,30.1,30,87,25,4,24,2,2.04,52,30,22,0.73,-0.92,30.1,6,2,1,29,27,1,44,26,36,NA,NA,0
Leandro Barreiro Martins,lu LUX,MF,25,40,25,2384,26.5,5,5,10,5,0,0,2,0,0.19,0.19,0.38,0.19,0.38,00242b75,40,2384,60,60.2,26.5,25,84,12,15,19,2,2.15,49,27,22,0.83,-0.48,26.5,2,0,0,45,64,6,6,24,27,NA,NA,0
Enzo Barrenechea,ar ARG,MF,24,35,27,2370,26.3,2,0,2,2,0,0,8,0,0.08,0,0.08,0.08,0.08,6caffe81,35,2370,68,59.8,26.3,27,83,17,8,16,5,2.09,46,22,24,0.91,-0.28,26.3,8,0,0,39,43,0,3,47,36,NA,NA,0
Tomás Araújo,pt POR,DF,23,32,26,2342,26,1,2,3,1,0,0,4,0,0.04,0.08,0.12,0.04,0.12,0fa11d7d,32,2342,73,59.1,26,26,86,23,6,16,7,2.06,52,26,26,1,-0.06,26,4,0,0,10,2,0,8,40,29,NA,NA,1
