Rk,Date,Comp,Round,Venue,Scorer,Opponent,Start,Minute,Score,Goalkeeper,Assist,Notes
1,2025-08-31,Primeira Liga,Matchweek 4,Away,Davy Gui,Alverca,N,85,0-2,Samuel Soares,,
2,2025-09-12,Primeira Liga,Matchweek 5,Home,Vinícius,Santa Clara,N,90+2,0-1,Anatolii Trubin,Anthony Carter,
3,2025-09-16,Champions Lg,League phase,Home,Leandro Andrade,Qarabağ,Y,30,0-2,Anatolii Trubin,Camilo Marques,
4,2025-09-16,Champions Lg,League phase,Home,Camilo Marques,Qarabağ,Y,48,1-2,Anatolii Trubin,Marko Janković,
5,2025-09-16,Champions Lg,League phase,Home,Oleksii Kashchuk,Qarabağ,N,86,2-2,Anatolii Trubin,Abdellah Zoubir,
6,2025-09-23,Primeira Liga,Matchweek 1,Home,André Inácio,Rio Ave,N,90+1,0-1,Anatolii Trubin,Tamás Nikitscher,
7,2025-09-26,Primeira Liga,Matchweek 7,Home,Luís Esteves,Gil Vicente FC,Y,11,0-0,Anatolii Trubin,,
8,2025-09-30,Champions Lg,League phase,Away,Richard Ríos (OG),Chelsea,Y,18,0-0,Anatolii Trubin,,Own Goal
9,2025-10-21,Champions Lg,League phase,Away,Anthony Gordon,Newcastle,Y,32,0-0,Anatolii Trubin,Jacob Murphy,
10,2025-10-21,Champions Lg,League phase,Away,Harvey Barnes,Newcastle,N,70,1-0,Anatolii Trubin,Nick Pope,
11,2025-10-21,Champions Lg,League phase,Away,Harvey Barnes,Newcastle,N,83,2-0,Anatolii Trubin,Anthony Gordon,
12,2025-11-05,Champions Lg,League phase,Home,Patrik Schick,Leverkusen,N,65,0-0,Anatolii Trubin,,
13,2025-11-09,Primeira Liga,Matchweek 11,Home,Tomás Araújo (OG),Casa Pia,Y,65,0-2,Anatolii Trubin,,Own Goal
14,2025-11-09,Primeira Liga,Matchweek 11,Home,Renato Nhaga,Casa Pia,N,90+1,1-2,Anatolii Trubin,,
15,2025-11-29,Primeira Liga,Matchweek 12,Away,Jesús Ramírez,Nacional,Y*,60,0-0,Anatolii Trubin,Paulinho Bóia,
16,2025-12-05,Primeira Liga,Matchweek 13,Home,Pedro Gonçalves,Sporting CP,Y,12,0-0,Anatolii Trubin,Morten Hjulmand,
17,2025-12-28,Primeira Liga,Matchweek 16,Away,Rodrigo Zalazar,Braga,Y,38,0-1,Anatolii Trubin,,
18,2025-12-28,Primeira Liga,Matchweek 16,Away,Pau Victor,Braga,Y,45+1,1-1,Anatolii Trubin,,
19,2026-01-03,Primeira Liga,Matchweek 17,Home,João Carvalho,Estoril,Y*,45+3,0-2,Anatolii Trubin,Rafik Guitane,
20,2026-01-21,Champions Lg,League phase,Away,Khéphren Thuram,Juventus,Y,55,0-0,Anatolii Trubin,,
21,2026-01-21,Champions Lg,League phase,Away,Weston McKennie,Juventus,Y,64,1-0,Anatolii Trubin,Jonathan David,
22,2026-01-28,Champions Lg,League phase,Home,Kylian Mbappé,Real Madrid,Y,30,0-0,Anatolii Trubin,Raúl Asencio,
23,2026-01-28,Champions Lg,League phase,Home,Kylian Mbappé,Real Madrid,Y,58,1-3,Anatolii Trubin,Arda Güler,
24,2026-02-08,Primeira Liga,Matchweek 21,Home,Figueiredo,Alverca,Y,30,0-1,Anatolii Trubin,Marko Milovanović,
25,2026-02-13,Primeira Liga,Matchweek 22,Away,Gonçalo Paciência,Santa Clara,Y,47,0-2,Anatolii Trubin,Gustavo Klismahn,
26,2026-02-17,Champions Lg,Knockout phase play-offs,Home,Vinicius Júnior,Real Madrid,Y,50,0-0,Anatolii Trubin,Kylian Mbappé,
27,2026-02-25,Champions Lg,Knockout phase play-offs,Away,Aurélien Tchouaméni,Real Madrid,Y,16,0-1,Anatolii Trubin,Federico Valverde,
28,2026-02-25,Champions Lg,Knockout phase play-offs,Away,Vinicius Júnior,Real Madrid,Y,80,1-1,Anatolii Trubin,Federico Valverde,
29,2026-03-02,Primeira Liga,Matchweek 24,Away,Héctor,Gil Vicente FC,Y,51,0-1,Anatolii Trubin,Santiago García,
30,2026-03-08,Primeira Liga,Matchweek 25,Home,Victor Froholdt,Porto,Y,10,0-0,Anatolii Trubin,,
31,2026-03-08,Primeira Liga,Matchweek 25,Home,Oskar Pietuszewski,Porto,Y,40,1-0,Anatolii Trubin,Gabriel Veiga,
32,2026-03-14,Primeira Liga,Matchweek 26,Away,Barbero,Arouca,Y,7,0-0,Anatolii Trubin,,
33,2026-04-06,Primeira Liga,Matchweek 28,Away,Rafael Brito,Casa Pia,Y,78,0-1,Anatolii Trubin,,
34,2026-04-19,Primeira Liga,Matchweek 30,Away,Hidemasa Morita,Sporting CP,Y,72,0-1,Anatolii Trubin,Zeno Debast,
35,2026-04-25,Primeira Liga,Matchweek 31,Home,Diogo Travassos,Moreirense,Y,26,0-1,Anatolii Trubin,André Ferreira,
36,2026-05-02,Primeira Liga,Matchweek 32,Away,Mathias De Amorim,Famalicão,Y,67,0-2,Anatolii Trubin,Leonardo Realpe,
37,2026-05-02,Primeira Liga,Matchweek 32,Away,Umar Abubakar,Famalicão,N,78,1-2,Anatolii Trubin,Mathias De Amorim,
38,2026-05-11,Primeira Liga,Matchweek 33,Home,Pau Victor,Braga,Y,48,0-1,Anatolii Trubin,Victor Gomez,
39,2026-05-11,Primeira Liga,Matchweek 33,Home,Jean Gorby,Braga,Y,88,1-1,Anatolii Trubin,Mario Dorgelès,
40,2026-05-16,Primeira Liga,Matchweek 34,Away,Andre Neves,Estoril,N,90+1,0-3,Anatolii Trubin,Kévin Boma,
