Rk,Date,Comp,Round,Venue,Scorer,Opponent,Start,Minute,Score,Goalkeeper,Assist,Notes
1,2025-08-06,Champions Lg,Third qualifying round,Away,Franjo Ivanović,Nice,Y,53,0-0,Yehvann Diouf,Fredrik Aursnes,
2,2025-08-06,Champions Lg,Third qualifying round,Away,Florentino Luís,Nice,N,88,1-0,Yehvann Diouf,Samuel Dahl,
3,2025-08-12,Champions Lg,Third qualifying round,Home,Fredrik Aursnes,Nice,Y,18,0-0,Yehvann Diouf,Andreas Schjelderup,
4,2025-08-12,Champions Lg,Third qualifying round,Home,Andreas Schjelderup,Nice,Y,27,1-0,Yehvann Diouf,Fredrik Aursnes,
5,2025-08-16,Primeira Liga,Matchweek 2,Away,Vangelis Pavlidis,Estrela,Y,60,0-0,Renan Ribeiro,,
6,2025-08-23,Primeira Liga,Matchweek 3,Home,Franjo Ivanović,Tondela,Y,31,0-0,Bernardo Fontes,Amar Dedić,
7,2025-08-23,Primeira Liga,Matchweek 3,Home,Fredrik Aursnes,Tondela,Y,42,1-0,Bernardo Fontes,Andreas Schjelderup,
8,2025-08-23,Primeira Liga,Matchweek 3,Home,Gianluca Prestianni,Tondela,N,90+6,2-0,Bernardo Fontes,,
9,2025-08-27,Champions Lg,Play-off round,Home,Kerem Aktürkoğlu,Fenerbahçe,Y,35,0-0,Dominik Livaković,Leandro Barreiro Martins,
10,2025-08-31,Primeira Liga,Matchweek 4,Away,Andreas Schjelderup,Alverca,Y,5,0-0,Matheus Mendes,,
11,2025-08-31,Primeira Liga,Matchweek 4,Away,Amar Dedić,Alverca,Y,44,1-0,Matheus Mendes,Leandro Barreiro Martins,
12,2025-09-12,Primeira Liga,Matchweek 5,Home,Vangelis Pavlidis,Santa Clara,Y,59,0-0,Gabriel Batista,,
13,2025-09-16,Champions Lg,League phase,Home,Enzo Barrenechea,Qarabağ,Y,6,0-0,Mateusz Kochalski,Heorhiy Sudakov,
14,2025-09-16,Champions Lg,League phase,Home,Vangelis Pavlidis,Qarabağ,Y,16,1-0,Mateusz Kochalski,,
15,2025-09-20,Primeira Liga,Matchweek 6,Away,Heorhiy Sudakov,AVS Futebol,Y,45+3,0-0,Simão Bertelli,Vangelis Pavlidis,
16,2025-09-20,Primeira Liga,Matchweek 6,Away,Vangelis Pavlidis,AVS Futebol,Y,59,1-0,Simão Bertelli,,
17,2025-09-20,Primeira Liga,Matchweek 6,Away,Franjo Ivanović,AVS Futebol,Y,64,2-0,Simão Bertelli,Vangelis Pavlidis,
18,2025-09-23,Primeira Liga,Matchweek 1,Home,Heorhiy Sudakov,Rio Ave,Y,86,0-0,Cezary Miszta,Dodi Lukebakio,
19,2025-09-26,Primeira Liga,Matchweek 7,Home,Vangelis Pavlidis,Gil Vicente FC,Y,18,0-1,Andrew,,
20,2025-09-26,Primeira Liga,Matchweek 7,Home,Vangelis Pavlidis,Gil Vicente FC,Y,26,1-1,Andrew,,
21,2025-10-25,Primeira Liga,Matchweek 9,Home,Vangelis Pavlidis,Arouca,Y,9,0-0,João Valido,,
22,2025-10-25,Primeira Liga,Matchweek 9,Home,Vangelis Pavlidis,Arouca,Y,22,1-0,João Valido,,
23,2025-10-25,Primeira Liga,Matchweek 9,Home,Nicolás Otamendi,Arouca,Y*,45+6,2-0,João Valido,Dodi Lukebakio,
24,2025-10-25,Primeira Liga,Matchweek 9,Home,Vangelis Pavlidis,Arouca,Y,50,3-0,João Valido,Gianluca Prestianni,
25,2025-10-25,Primeira Liga,Matchweek 9,Home,Franjo Ivanović,Arouca,N,90+3,4-0,João Valido,,
26,2025-11-01,Primeira Liga,Matchweek 10,Away,Tomás Araújo,Vit. Guimarães,Y,53,0-0,Juan Castillo,Dodi Lukebakio,
27,2025-11-01,Primeira Liga,Matchweek 10,Away,Samuel Dahl,Vit. Guimarães,Y,62,1-0,Juan Castillo,Leandro Barreiro Martins,
28,2025-11-01,Primeira Liga,Matchweek 10,Away,João Rêgo,Vit. Guimarães,N,87,2-0,Juan Castillo,,
29,2025-11-09,Primeira Liga,Matchweek 11,Home,Heorhiy Sudakov,Casa Pia,Y,17,0-0,Patrick Sequeira,Vangelis Pavlidis,
30,2025-11-09,Primeira Liga,Matchweek 11,Home,Vangelis Pavlidis,Casa Pia,Y,60,1-0,Patrick Sequeira,,
31,2025-11-25,Champions Lg,League phase,Away,Samuel Dahl,Ajax,Y,6,0-0,Vitezslav Jaros,,
32,2025-11-25,Champions Lg,League phase,Away,Leandro Barreiro Martins,Ajax,Y,90,1-0,Vitezslav Jaros,Fredrik Aursnes,
33,2025-11-29,Primeira Liga,Matchweek 12,Away,Gianluca Prestianni,Nacional,N,89,0-1,Kaique,Amar Dedić,
34,2025-11-29,Primeira Liga,Matchweek 12,Away,Vangelis Pavlidis,Nacional,Y,90+5,1-1,Kaique,Andreas Schjelderup,
35,2025-12-05,Primeira Liga,Matchweek 13,Home,Heorhiy Sudakov,Sporting CP,Y,27,0-1,Rui Silva,Amar Dedić,
36,2025-12-10,Champions Lg,League phase,Home,Richard Ríos,Napoli,Y,20,0-0,Vanja Milinković-Savić,,
37,2025-12-10,Champions Lg,League phase,Home,Leandro Barreiro Martins,Napoli,Y,49,1-0,Vanja Milinković-Savić,Richard Ríos,
38,2025-12-14,Primeira Liga,Matchweek 14,Away,Vangelis Pavlidis,Moreirense,Y,36,0-0,André Ferreira,Fredrik Aursnes,
39,2025-12-14,Primeira Liga,Matchweek 14,Away,Vangelis Pavlidis,Moreirense,Y,57,1-0,André Ferreira,Fredrik Aursnes,
40,2025-12-14,Primeira Liga,Matchweek 14,Away,Vangelis Pavlidis,Moreirense,Y,70,2-0,André Ferreira,,
41,2025-12-14,Primeira Liga,Matchweek 14,Away,Fredrik Aursnes,Moreirense,Y,76,3-0,André Ferreira,,
42,2025-12-22,Primeira Liga,Matchweek 15,Home,Vangelis Pavlidis,Famalicão,Y,34,0-0,Lazar Carević,,
43,2025-12-28,Primeira Liga,Matchweek 16,Away,Nicolás Otamendi,Braga,Y*,29,0-0,Lukáš Horníček,,
44,2025-12-28,Primeira Liga,Matchweek 16,Away,Fredrik Aursnes,Braga,Y,53,1-2,Lukáš Horníček,Vangelis Pavlidis,
45,2026-01-03,Primeira Liga,Matchweek 17,Home,Vangelis Pavlidis,Estoril,Y,34,0-0,Joel Robles,,
46,2026-01-03,Primeira Liga,Matchweek 17,Home,Vangelis Pavlidis,Estoril,Y,45+1,1-0,Joel Robles,Leandro Barreiro Martins,
47,2026-01-03,Primeira Liga,Matchweek 17,Home,Vangelis Pavlidis,Estoril,Y,80,2-1,Joel Robles,,
48,2026-01-17,Primeira Liga,Matchweek 18,Away,Leandro Barreiro Martins,Rio Ave,Y,16,0-0,Cezary Miszta,Heorhiy Sudakov,
49,2026-01-17,Primeira Liga,Matchweek 18,Away,Andreas Ntoi (OG),Rio Ave,Y,25,1-0,Cezary Miszta,,Own Goal
50,2026-01-25,Primeira Liga,Matchweek 19,Home,Vangelis Pavlidis,Estrela,Y,42,0-0,Renan Ribeiro,Sidny Lopes Cabral,
51,2026-01-25,Primeira Liga,Matchweek 19,Home,Vangelis Pavlidis,Estrela,Y,55,1-0,Renan Ribeiro,,
52,2026-01-25,Primeira Liga,Matchweek 19,Home,Sidny Lopes Cabral,Estrela,Y,58,2-0,Renan Ribeiro,,
53,2026-01-25,Primeira Liga,Matchweek 19,Home,Anísio Cabral,Estrela,N,84,3-0,Renan Ribeiro,,
54,2026-01-28,Champions Lg,League phase,Home,Andreas Schjelderup,Real Madrid,Y,36,0-1,Thibaut Courtois,Vangelis Pavlidis,
55,2026-01-28,Champions Lg,League phase,Home,Vangelis Pavlidis,Real Madrid,Y,45+5,1-1,Thibaut Courtois,,
56,2026-01-28,Champions Lg,League phase,Home,Andreas Schjelderup,Real Madrid,Y,54,2-1,Thibaut Courtois,Vangelis Pavlidis,
57,2026-01-28,Champions Lg,League phase,Home,Anatolii Trubin,Real Madrid,Y,90+8,3-2,Thibaut Courtois,Fredrik Aursnes,
