,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Anatolii Trubin,ua UKR,GK,23,42,42,3780,42.0,1,0,1,1,0,0,2,0,0.02,0.00,0.02,0.02,0.02,Matches,41f0b196
Samuel Dahl,se SWE,DF,22,42,41,3648,40.5,2,1,3,2,0,0,5,0,0.05,0.02,0.07,0.05,0.07,Matches,bbe7d20b
Nicolás Otamendi,ar ARG,DF,37,40,40,3503,38.9,2,0,2,2,0,0,10,1,0.05,0.00,0.05,0.05,0.05,Matches,0d267745
Vangelis Pavlidis,gr GRE,FW,26,43,39,3468,38.5,24,6,30,13,11,13,3,0,0.62,0.16,0.78,0.34,0.49,Matches,d578db11
Fredrik Aursnes,no NOR,MF,29,38,36,3151,35.0,3,5,8,3,0,0,3,0,0.09,0.14,0.23,0.09,0.23,Matches,f0677ed7
Richard Ríos,co COL,MF,25,35,33,2897,32.2,6,5,11,6,0,0,11,0,0.19,0.16,0.34,0.19,0.34,Matches,72da065d
Amar Dedić,ba BIH,DF,22,34,30,2705,30.1,1,4,5,1,0,0,6,2,0.03,0.13,0.17,0.03,0.17,Matches,bc6e544a
Leandro Barreiro Martins,lu LUX,MF,25,40,25,2384,26.5,5,5,10,5,0,0,2,0,0.19,0.19,0.38,0.19,0.38,Matches,00242b75
Enzo Barrenechea,ar ARG,MF,24,35,27,2370,26.3,2,0,2,2,0,0,8,0,0.08,0.00,0.08,0.08,0.08,Matches,6caffe81
Tomás Araújo,pt POR,DF,23,32,26,2342,26.0,1,2,3,1,0,0,4,0,0.04,0.08,0.12,0.04,0.12,Matches,0fa11d7d
António Silva,pt POR,DF,21,31,24,2220,24.7,1,1,2,1,0,0,6,0,0.04,0.04,0.08,0.04,0.08,Matches,8f0435c7
Andreas Schjelderup,no NOR,MF,21,35,25,2142,23.8,9,5,14,7,2,2,2,0,0.38,0.21,0.59,0.29,0.50,Matches,a427724f
Heorhiy Sudakov,ua UKR,MFFW,22,31,25,2057,22.9,4,2,6,4,0,0,3,0,0.18,0.09,0.26,0.18,0.26,Matches,a793f5a8
Gianluca Prestianni,ar ARG,MF,19,34,20,1824,20.3,3,5,8,3,0,0,9,1,0.15,0.25,0.39,0.15,0.39,Matches,d203fb17
Rafa Silva,pt POR,MF,32,18,13,1080,12.0,6,0,6,6,0,0,0,0,0.50,0.00,0.50,0.50,0.50,Matches,70cf63ca
Franjo Ivanović,hr CRO,FW,21,32,10,1043,11.6,6,1,7,5,1,1,1,0,0.52,0.09,0.60,0.43,0.52,Matches,7e3ea311
Dodi Lukebakio,be BEL,MFFW,27,21,11,1013,11.3,0,3,3,0,0,0,3,0,0.00,0.27,0.27,0.00,0.27,Matches,0c61c77c
Alexander Bah,dk DEN,DFMF,27,9,6,472,5.2,2,0,2,2,0,0,2,0,0.38,0.00,0.38,0.38,0.38,Matches,78f21137
Sidny Lopes Cabral,cv CPV,DFMF,22,10,3,372,4.1,1,2,3,1,0,0,1,0,0.24,0.48,0.73,0.24,0.73,Matches,20700569
Samuel Soares,pt POR,GK,23,2,2,180,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,244ff834
Daniel Banjaqui,pt POR,DF,17,2,2,152,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,02546e9e
Manuel Manu,pt POR,MF,24,10,1,127,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4c2a65a8
Rodrigo Rego,pt POR,FW,20,4,1,113,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4a04b70b
José Neto,pt POR,DF,17,3,1,96,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ef553796
João Rêgo,pt POR,MF,20,10,0,83,0.9,1,0,1,1,0,0,0,0,1.08,0.00,1.08,1.08,1.08,Matches,24c4694a
Rafel Obrador,es ESP,DF,21,1,1,67,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,949c3655
Anísio Cabral,pt POR,FW,17,6,0,49,0.5,2,0,2,2,0,0,0,0,3.67,0.00,3.67,3.67,3.67,Matches,04d9d513
Florentino Luís,pt POR,MF,25,3,0,38,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,881cd6be
