benfica_match_id,match_id,date,round,home_team,away_team,venue,opponent,benfica__top_stats__ball_possession,opponent__top_stats__ball_possession,benfica__top_stats__expected_goals_xg,opponent__top_stats__expected_goals_xg,benfica__top_stats__total_shots,opponent__top_stats__total_shots,benfica__top_stats__shots_on_target,opponent__top_stats__shots_on_target,benfica__top_stats__touches_in_opposition_box,opponent__top_stats__touches_in_opposition_box,benfica__top_stats__big_chances,opponent__top_stats__big_chances,benfica__top_stats__big_chances_missed,opponent__top_stats__big_chances_missed,benfica__top_stats__accurate_passes,opponent__top_stats__accurate_passes,benfica__top_stats__yellow_cards,opponent__top_stats__yellow_cards,benfica__top_stats__corners,opponent__top_stats__corners,benfica__shots__shots,opponent__shots__shots,benfica__shots__total_shots,opponent__shots__total_shots,benfica__shots__shots_off_target,opponent__shots__shots_off_target,benfica__shots__shots_on_target,opponent__shots__shots_on_target,benfica__shots__blocked_shots,opponent__shots__blocked_shots,benfica__shots__hit_woodwork,opponent__shots__hit_woodwork,benfica__shots__shots_inside_box,opponent__shots__shots_inside_box,benfica__shots__shots_outside_box,opponent__shots__shots_outside_box,benfica__expected_goals_xg__expected_goals_xg,opponent__expected_goals_xg__expected_goals_xg,benfica__expected_goals_xg__xg_open_play,opponent__expected_goals_xg__xg_open_play,benfica__expected_goals_xg__xg_set_play,opponent__expected_goals_xg__xg_set_play,benfica__expected_goals_xg__xg_non_penalty,opponent__expected_goals_xg__xg_non_penalty,benfica__expected_goals_xg__xg_on_target_xgot,opponent__expected_goals_xg__xg_on_target_xgot,benfica__passes__passes,opponent__passes__passes,benfica__passes__accurate_passes,opponent__passes__accurate_passes,benfica__passes__own_half,opponent__passes__own_half,benfica__passes__opposition_half,opponent__passes__opposition_half,benfica__passes__accurate_long_balls,opponent__passes__accurate_long_balls,benfica__passes__accurate_crosses,opponent__passes__accurate_crosses,benfica__passes__throws,opponent__passes__throws,benfica__passes__touches_in_opposition_box,opponent__passes__touches_in_opposition_box,benfica__passes__offsides,opponent__passes__offsides,benfica__defence__defence,opponent__defence__defence,benfica__defence__tackles,opponent__defence__tackles,benfica__defence__interceptions,opponent__defence__interceptions,benfica__defence__blocks,opponent__defence__blocks,benfica__defence__clearances,opponent__defence__clearances,benfica__defence__keeper_saves,opponent__defence__keeper_saves,benfica__duels__duels,opponent__duels__duels,benfica__duels__duels_won,opponent__duels__duels_won,benfica__duels__ground_duels_won,opponent__duels__ground_duels_won,benfica__duels__aerial_duels_won,opponent__duels__aerial_duels_won,benfica__duels__successful_dribbles,opponent__duels__successful_dribbles,benfica__discipline__discipline,opponent__discipline__discipline,benfica__discipline__yellow_cards,opponent__discipline__yellow_cards,benfica__discipline__red_cards,opponent__discipline__red_cards,benfica__discipline__fouls_committed,opponent__discipline__fouls_committed
SLB_20250816_A_ESTRELAAMADORA,4844178,2025-08-16,2,Estrela da Amadora,Benfica,Away,Estrela da Amadora,57,43,2.41,1.41,14,15,3,2,24,13,2,3,1,3,287 (79%),207 (75%),3,3,4,5,,,14,15,7,9,3,2,4,4,0,1,9,5,5,10,2.41,1.41,1.5,0.5,0.12,0.91,1.62,1.41,1.78,0.39,365,275,287 (79%),207 (75%),117,116,170,91,30 (48%),29 (52%),4 (36%),3 (33%),24,18,24,13,1,1,,,10,14,4,5,4,4,18,21,2,2,,,45,66,23 (35%),43 (65%),22 (49%),23 (51%),1 (13%),8 (73%),,,3,3,0,0,23,14
SLB_20250823_H_TONDELA,4844182,2025-08-23,3,Benfica,Tondela,Home,Tondela,66,34,2.96,0.47,21,9,12,4,46,13,6,0,4,0,477 (87%),228 (81%),2,2,13,2,,,21,9,5,2,12,4,4,3,1,0,19,6,2,3,2.96,0.47,2.68,0.28,0.28,0.19,2.96,0.47,2.97,0.95,547,282,477 (87%),228 (81%),246,107,231,121,25 (61%),18 (51%),9 (31%),2 (10%),19,16,46,13,1,1,,,13,10,11,6,2,6,17,35,4,7,,,56,40,43 (61%),27 (39%),13 (50%),13 (50%),19 (79%),8 (50%),,,2,2,0,0,10,12
SLB_20250831_A_ALVERCA,4844190,2025-08-31,4,Alverca,Benfica,Away,Alverca,53,47,1.03,0.81,6,11,2,7,20,16,1,1,0,1,441 (89%),368 (88%),4,4,2,5,,,6,11,2,3,2,7,2,1,1,0,4,9,2,2,1.03,0.81,1.03,0.52,0.01,0.28,1.03,0.81,1.26,2.13,493,420,441 (89%),368 (88%),159,229,282,139,20 (51%),23 (56%),3 (25%),3 (14%),12,15,20,16,0,0,,,15,12,8,4,1,2,27,12,6,0,,,45,47,36 (47%),40 (53%),9 (56%),7 (44%),9 (69%),12 (55%),,,4,4,1,0,18,12
SLB_20250912_H_SANTACLARA,4844203,2025-09-12,5,Benfica,Santa Clara,Home,Santa Clara,78,22,1.62,1.02,19,9,7,5,39,12,2,3,1,2,653 (90%),137 (66%),1,1,4,5,,,19,9,7,2,7,5,5,2,0,0,10,6,9,3,1.62,1.02,0.87,0.98,0.75,0.04,1.62,1.02,1.79,0.93,727,209,653 (90%),137 (66%),144,89,509,48,31 (67%),16 (31%),11 (28%),2 (25%),25,17,39,12,2,0,,,17,12,3,10,2,5,11,50,5,6,,,60,47,35 (58%),25 (42%),25 (53%),22 (47%),8 (53%),6 (43%),,,1,1,0,1,8,11
SLB_20250920_A_AVSFUTEBOLSAD,4844206,2025-09-20,6,AVS Futebol SAD,Benfica,Away,AVS Futebol SAD,63,37,2.4,0.88,19,8,6,1,44,16,5,1,2,1,473 (89%),234 (77%),1,1,1,2,,,19,8,6,5,6,1,7,2,0,1,12,6,7,2,2.4,0.88,1.47,0.84,0.14,0.04,1.61,0.88,2.29,0.1,530,303,473 (89%),234 (77%),225,140,248,94,31 (60%),25 (49%),4 (40%),5 (29%),17,18,44,16,3,0,,,20,25,10,5,2,7,29,18,1,2,,,66,69,43 (47%),49 (53%),23 (53%),20 (47%),6 (32%),15 (60%),,,1,1,0,0,11,17
SLB_20250923_H_RIOAVE,4844163,2025-09-23,1,Benfica,Rio Ave,Home,Rio Ave,69,31,2.57,0.16,19,4,7,2,53,13,4,0,3,0,480 (87%),187 (72%),3,3,11,2,,,19,4,6,1,7,2,6,1,0,0,15,3,4,1,2.57,0.16,2.2,0.16,0.38,0.0,2.57,0.16,2.27,0.89,552,259,480 (87%),187 (72%),167,130,313,57,24 (75%),20 (38%),8 (21%),3 (50%),31,15,53,13,2,0,,,25,24,9,9,1,6,8,66,1,6,,,65,63,52 (53%),46 (47%),13 (43%),17 (57%),11 (52%),9 (35%),,,3,3,0,0,16,17
SLB_20250926_H_GILVICENTE,4844221,2025-09-26,7,Benfica,Gil Vicente,Home,Gil Vicente,47,53,1.27,1.26,10,16,4,7,18,19,1,2,0,2,280 (77%),313 (79%),3,2,0,7,,,10,16,6,6,4,7,0,3,0,2,4,9,6,7,1.27,1.26,0.39,0.87,0.1,0.39,0.49,1.26,1.17,1.59,362,398,280 (77%),313 (79%),164,173,116,140,23 (43%),28 (50%),0 (0%),7 (29%),23,22,18,19,0,2,,,15,29,7,4,3,0,32,14,6,2,,,83,69,51 (48%),55 (52%),32 (70%),14 (30%),17 (57%),13 (59%),,,3,2,0,1,14,20
SLB_20251005_A_FCPORTO,4844232,2025-10-05,8,FC Porto,Benfica,Away,FC Porto,49,51,0.12,0.68,4,8,1,2,11,28,0,1,0,1,334 (80%),366 (85%),2,6,3,3,,,4,8,2,4,1,2,1,2,1,1,2,6,2,2,0.12,0.68,0.02,0.68,0.1,0.0,0.12,0.68,0.33,0.61,417,430,334 (80%),366 (85%),197,214,137,152,24 (40%),19 (61%),1 (10%),5 (26%),11,24,11,28,0,0,,,18,11,7,8,2,1,28,10,2,1,,,50,33,43 (66%),22 (34%),7 (39%),11 (61%),11 (61%),5 (38%),,,2,6,0,0,6,15
SLB_20251025_H_AROUCA,4844240,2025-10-25,9,Benfica,Arouca,Home,Arouca,53,47,3.84,0.44,17,5,8,0,46,4,5,0,1,0,398 (85%),330 (81%),2,2,9,1,,,17,5,7,4,8,0,2,1,2,0,14,2,3,3,3.84,0.44,1.05,0.44,0.42,0.0,1.48,0.44,4.55,0.0,466,406,398 (85%),330 (81%),229,220,169,110,38 (73%),19 (45%),4 (22%),1 (10%),6,26,46,4,4,1,,,13,16,12,8,1,2,9,20,0,3,,,55,39,42 (55%),35 (45%),13 (76%),4 (24%),12 (63%),6 (43%),,,2,2,0,0,13,18
SLB_20251101_A_VITORIAGUIMARAES,4844250,2025-11-01,10,Vitoria de Guimaraes,Benfica,Away,Vitoria de Guimaraes,66,34,2.13,0.43,24,10,10,3,37,8,6,0,4,0,498 (90%),216 (77%),4,3,6,3,,,24,10,8,4,10,3,6,3,0,0,13,4,11,6,2.13,0.43,1.62,0.2,0.5,0.23,2.13,0.43,2.52,0.07,552,279,498 (90%),216 (77%),215,134,283,82,30 (60%),30 (55%),6 (35%),1 (14%),19,15,37,8,0,1,,,9,15,8,10,3,6,10,16,3,7,,,47,42,36 (53%),32 (47%),11 (52%),10 (48%),15 (60%),6 (55%),,,4,3,0,1,11,12
