benfica_match_id,date,season,competition,venue,opponent_key,opponent,home_team,away_team,round,home_goals,away_goals,result_home,sofascore_event_id,fotmob_match_id,football_data_row_id,benfica_goals,opponent_goals,result,possession,shots,shots_on_target,xg,opponent_possession,opponent_shots,opponent_shots_on_target,opponent_xg,xg_open_play,xg_set_play,xg_non_penalty,xgot,opponent_xg_open_play,opponent_xg_set_play,opponent_xg_non_penalty,opponent_xgot,shot_difference,shots_on_target_difference,xg_difference,shot_accuracy,opponent_shot_accuracy,xg_per_shot,opponent_xg_per_shot,points
SLB_20250816_A_ESTRELAAMADORA,2025-08-16,2025/26,Liga Portugal,Away,estrelaamadora,CF Estrela Amadora,CF Estrela Amadora,Benfica,2.0,0,1,A,14131876,4844178,11,1,0,W,57%,14,3,2.41,43%,15,2,1.41,1.5,0.12,1.62,1.78,0.5,0.91,1.41,0.39,-1,1,1.0000000000000002,0.21428571428571427,0.13333333333333333,0.17214285714285715,0.094,3
SLB_20250823_H_TONDELA,2025-08-23,2025/26,Liga Portugal,Home,tondela,Tondela,Benfica,Tondela,3.0,3,0,H,14131880,4844182,20,3,0,W,66%,21,12,2.96,34%,9,4,0.47,2.68,0.28,2.96,2.97,0.28,0.19,0.47,0.95,12,8,2.49,0.5714285714285714,0.4444444444444444,0.14095238095238094,0.05222222222222222,3
SLB_20250831_A_ALVERCA,2025-08-31,2025/26,Liga Portugal,Away,alverca,FC Alverca,FC Alverca,Benfica,4.0,1,2,A,14131888,4844190,31,2,1,W,53%,6,2,1.03,47%,11,7,0.81,1.03,0.01,1.03,1.26,0.52,0.28,0.81,2.13,-5,-5,0.21999999999999997,0.3333333333333333,0.6363636363636364,0.17166666666666666,0.07363636363636364,3
SLB_20250912_H_SANTACLARA,2025-09-12,2025/26,Liga Portugal,Home,santaclara,Santa Clara,Benfica,Santa Clara,5.0,1,1,D,14131901,4844203,36,1,1,D,78%,19,7,1.62,22%,9,5,1.02,0.87,0.75,1.62,1.79,0.98,0.04,1.02,0.93,10,2,0.6000000000000001,0.3684210526315789,0.5555555555555556,0.08526315789473685,0.11333333333333334,1
SLB_20250920_A_AVSFUTEBOLSAD,2025-09-20,2025/26,Liga Portugal,Away,avsfutebolsad,AVS - Futebol SAD,AVS - Futebol SAD,Benfica,6.0,0,3,A,14131904,4844206,47,3,0,W,63%,19,6,2.4,37%,8,1,0.88,1.47,0.14,1.61,2.29,0.84,0.04,0.88,0.1,11,5,1.52,0.3157894736842105,0.125,0.12631578947368421,0.11,3
SLB_20250923_H_RIOAVE,2025-09-23,2025/26,Liga Portugal,Home,rioave,Rio Ave,Benfica,Rio Ave,1.0,1,1,D,14131859,4844163,53,1,1,D,69%,19,7,2.57,31%,4,2,0.16,2.2,0.38,2.57,2.27,0.16,0.0,0.16,0.89,15,5,2.4099999999999997,0.3684210526315789,0.5,0.13526315789473684,0.04,1
SLB_20250926_H_GILVICENTE,2025-09-26,2025/26,Liga Portugal,Home,gilvicente,Gil Vicente,Benfica,Gil Vicente,7.0,2,1,H,14131920,4844221,54,2,1,W,47%,10,4,1.27,53%,16,7,1.26,0.39,0.1,0.49,1.17,0.87,0.39,1.26,1.59,-6,-3,0.010000000000000009,0.4,0.4375,0.127,0.07875,3
SLB_20251005_A_FCPORTO,2025-10-05,2025/26,Liga Portugal,Away,fcporto,FC Porto,FC Porto,Benfica,8.0,0,0,D,14131931,4844232,71,0,0,D,49%,4,1,0.12,51%,8,2,0.68,0.02,0.1,0.12,0.33,0.68,0.0,0.68,0.61,-4,-1,-0.56,0.25,0.25,0.03,0.085,1
SLB_20251025_H_AROUCA,2025-10-25,2025/26,Liga Portugal,Home,arouca,FC Arouca,Benfica,FC Arouca,9.0,5,0,H,14131939,4844240,74,5,0,W,53%,17,8,3.84,47%,5,0,0.44,1.05,0.42,1.48,4.55,0.44,0.0,0.44,0.0,12,8,3.4,0.47058823529411764,0.0,0.22588235294117645,0.088,3
SLB_20251101_A_VITORIAGUIMARAES,2025-11-01,2025/26,Liga Portugal,Away,vitoriaguimaraes,Vitória SC,Vitória SC,Benfica,10.0,0,3,A,14131949,4844250,85,3,0,W,66%,24,10,2.13,34%,10,3,0.43,1.62,0.5,2.13,2.52,0.2,0.23,0.43,0.07,14,7,1.7,0.4166666666666667,0.3,0.08875,0.043,3
SLB_20251109_H_CASAPIA,2025-11-09,2025/26,Liga Portugal,Home,casapia,Casa Pia,Benfica,Casa Pia,11.0,2,2,D,14131956,4844257,97,2,2,D,66%,19,6,2.22,34%,7,4,1.21,0.83,0.6,1.43,2.6,0.37,0.05,0.43,1.67,12,2,1.0100000000000002,0.3157894736842105,0.5714285714285714,0.1168421052631579,0.17285714285714285,1
SLB_20251129_A_NACIONAL,2025-11-29,2025/26,Liga Portugal,Away,nacional,CD Nacional,CD Nacional,Benfica,12.0,1,2,A,14131968,4844268,102,2,1,W,70%,30,8,2.4,30%,6,2,0.39,1.95,0.46,2.4,2.62,0.37,0.02,0.39,0.95,24,6,2.01,0.26666666666666666,0.3333333333333333,0.08,0.065,3
SLB_20251205_H_SPORTINGCP,2025-12-05,2025/26,Liga Portugal,Home,sportingcp,Sporting CP,Benfica,Sporting CP,13.0,1,1,D,14131973,4844273,108,1,1,D,41%,10,4,0.92,59%,5,2,0.58,0.82,0.1,0.92,1.54,0.58,0.0,0.58,0.62,5,2,0.3400000000000001,0.4,0.4,0.092,0.11599999999999999,1
SLB_20251214_A_MOREIRENSE,2025-12-14,2025/26,Liga Portugal,Away,moreirense,Moreirense,Moreirense,Benfica,14.0,0,4,A,14131986,4844285,121,4,0,W,47%,10,5,1.0,53%,10,2,0.51,0.9,0.1,1.0,2.09,0.25,0.26,0.51,0.16,0,3,0.49,0.5,0.2,0.1,0.051000000000000004,3
SLB_20251222_H_FAMALICAO,2025-12-22,2025/26,Liga Portugal,Home,famalicao,Famalicão,Benfica,Famalicão,15.0,1,0,H,14288840,4844291,133,1,0,W,55%,10,6,1.28,45%,4,2,0.21,0.43,0.06,0.49,1.98,0.21,0.0,0.21,0.43,6,4,1.07,0.6,0.5,0.128,0.0525,3
SLB_20251228_A_BRAGA,2025-12-28,2025/26,Liga Portugal,Away,braga,Sporting Braga,Sporting Braga,Benfica,16.0,2,2,D,14288915,4844304,139,2,2,D,51%,14,6,1.23,49%,11,3,1.7,0.83,0.4,1.23,2.19,0.5,0.41,0.91,2.24,3,3,-0.47,0.42857142857142855,0.2727272727272727,0.08785714285714286,0.15454545454545454,1
SLB_20260103_H_ESTORIL,2026-01-03,2025/26,Liga Portugal,Home,estoril,Estoril Praia,Benfica,Estoril Praia,17.0,3,1,H,14288921,4844309,145,3,1,W,51%,20,3,2.27,49%,9,4,0.71,1.01,0.47,1.48,1.88,0.66,0.05,0.71,1.69,11,-1,1.56,0.15,0.4444444444444444,0.1135,0.07888888888888888,3
SLB_20260117_A_RIOAVE,2026-01-17,2025/26,Liga Portugal,Away,rioave,Rio Ave,Rio Ave,Benfica,18.0,0,2,A,14288934,4844316,157,2,0,W,63%,24,8,1.78,37%,7,1,0.2,1.09,0.69,1.78,0.92,0.16,0.03,0.2,0.5,17,7,1.58,0.3333333333333333,0.14285714285714285,0.07416666666666667,0.028571428571428574,3
