sofascore_event_id,date,round_sofascore,venue,opponent_sofascore,opponent_key,home_team_sofascore,away_team_sofascore,fotmob_match_id,round_fotmob,opponent_fotmob,home_team_fotmob,away_team_fotmob,_merge,match_key,football_data_row_id,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,AvgH,AvgD,AvgA,MaxH,MaxD,MaxA,benfica_match_id
14131876,2025-08-16,2.0,Away,CF Estrela Amadora,estrelaamadora,CF Estrela Amadora,Benfica,4844178,2,Estrela da Amadora,Estrela da Amadora,Benfica,both,2025-08-16__away__estrelaamadora,11,Estrela,Benfica,0,1,A,0,0,D,13.63,6.6,1.18,16.0,7.5,1.2,SLB_20250816_A_ESTRELAAMADORA
14131880,2025-08-23,3.0,Home,Tondela,tondela,Benfica,Tondela,4844182,3,Tondela,Benfica,Tondela,both,2025-08-23__home__tondela,20,Benfica,Tondela,3,0,H,2,0,H,1.15,7.15,15.97,1.17,7.5,19.0,SLB_20250823_H_TONDELA
14131888,2025-08-31,4.0,Away,FC Alverca,alverca,FC Alverca,Benfica,4844190,4,Alverca,Alverca,Benfica,both,2025-08-31__away__alverca,31,Alverca,Benfica,1,2,A,0,2,A,12.97,6.08,1.19,15.0,6.5,1.23,SLB_20250831_A_ALVERCA
14131901,2025-09-12,5.0,Home,Santa Clara,santaclara,Benfica,Santa Clara,4844203,5,Santa Clara,Benfica,Santa Clara,both,2025-09-12__home__santaclara,36,Benfica,Santa Clara,1,1,D,0,0,D,1.34,4.57,9.29,1.36,5.0,10.0,SLB_20250912_H_SANTACLARA
14131904,2025-09-20,6.0,Away,AVS - Futebol SAD,avsfutebolsad,AVS - Futebol SAD,Benfica,4844206,6,AVS Futebol SAD,AVS Futebol SAD,Benfica,both,2025-09-20__away__avsfutebolsad,47,AVS,Benfica,0,3,A,0,1,A,14.93,6.48,1.17,16.0,7.0,1.2,SLB_20250920_A_AVSFUTEBOLSAD
14131859,2025-09-23,1.0,Home,Rio Ave,rioave,Benfica,Rio Ave,4844163,1,Rio Ave,Benfica,Rio Ave,both,2025-09-23__home__rioave,53,Benfica,Rio Ave,1,1,D,0,0,D,1.18,6.87,12.13,1.22,7.5,14.5,SLB_20250923_H_RIOAVE
14131920,2025-09-26,7.0,Home,Gil Vicente,gilvicente,Benfica,Gil Vicente,4844221,7,Gil Vicente,Benfica,Gil Vicente,both,2025-09-26__home__gilvicente,54,Benfica,Gil Vicente,2,1,H,2,1,H,1.3,4.98,9.28,1.33,5.3,10.0,SLB_20250926_H_GILVICENTE
14131931,2025-10-05,8.0,Away,FC Porto,fcporto,FC Porto,Benfica,4844232,8,FC Porto,FC Porto,Benfica,both,2025-10-05__away__fcporto,71,Porto,Benfica,0,0,D,0,0,D,2.02,3.38,3.51,2.05,3.55,3.7,SLB_20251005_A_FCPORTO
14131939,2025-10-25,9.0,Home,FC Arouca,arouca,Benfica,FC Arouca,4844240,9,Arouca,Benfica,Arouca,both,2025-10-25__home__arouca,74,Benfica,Arouca,5,0,H,3,0,H,1.16,7.13,14.09,1.18,8.0,15.0,SLB_20251025_H_AROUCA
14131949,2025-11-01,10.0,Away,Vitória SC,vitoriaguimaraes,Vitória SC,Benfica,4844250,10,Vitoria de Guimaraes,Vitoria de Guimaraes,Benfica,both,2025-11-01__away__vitoriaguimaraes,85,Guimaraes,Benfica,0,3,A,0,0,D,6.23,4.38,1.46,6.5,4.75,1.5,SLB_20251101_A_VITORIAGUIMARAES
14131956,2025-11-09,11.0,Home,Casa Pia,casapia,Benfica,Casa Pia,4844257,11,Casa Pia AC,Benfica,Casa Pia AC,both,2025-11-09__home__casapia,97,Benfica,Casa Pia,2,2,D,1,0,H,1.16,7.01,14.47,1.18,7.7,16.5,SLB_20251109_H_CASAPIA
14131968,2025-11-29,12.0,Away,CD Nacional,nacional,CD Nacional,Benfica,4844268,12,Nacional,Nacional,Benfica,both,2025-11-29__away__nacional,102,Nacional,Benfica,1,2,A,0,0,D,8.03,4.84,1.34,9.0,5.25,1.37,SLB_20251129_A_NACIONAL
14131973,2025-12-05,13.0,Home,Sporting CP,sportingcp,Benfica,Sporting CP,4844273,13,Sporting CP,Benfica,Sporting CP,both,2025-12-05__home__sportingcp,108,Benfica,Sp Lisbon,1,1,D,1,1,D,2.68,3.11,2.62,2.8,3.25,2.71,SLB_20251205_H_SPORTINGCP
14131986,2025-12-14,14.0,Away,Moreirense,moreirense,Moreirense,Benfica,4844285,14,Moreirense,Moreirense,Benfica,both,2025-12-14__away__moreirense,121,Moreirense,Benfica,0,4,A,0,1,A,8.64,4.62,1.34,9.75,5.0,1.38,SLB_20251214_A_MOREIRENSE
14288840,2025-12-22,15.0,Home,Famalicão,famalicao,Benfica,Famalicão,4844291,15,Famalicao,Benfica,Famalicao,both,2025-12-22__home__famalicao,133,Benfica,Famalicao,1,0,H,1,0,H,1.33,4.74,8.55,1.36,5.0,9.5,SLB_20251222_H_FAMALICAO
14288915,2025-12-28,16.0,Away,Sporting Braga,braga,Sporting Braga,Benfica,4844304,16,Braga,Braga,Benfica,both,2025-12-28__away__braga,139,Sp Braga,Benfica,2,2,D,2,1,H,3.35,3.24,2.12,3.5,3.4,2.16,SLB_20251228_A_BRAGA
14288921,2026-01-03,17.0,Home,Estoril Praia,estoril,Benfica,Estoril Praia,4844309,17,Estoril,Benfica,Estoril,both,2026-01-03__home__estoril,145,Benfica,Estoril,3,1,H,2,1,H,1.22,5.89,11.31,1.25,6.5,13.5,SLB_20260103_H_ESTORIL
14288934,2026-01-17,18.0,Away,Rio Ave,rioave,Rio Ave,Benfica,4844316,18,Rio Ave,Rio Ave,Benfica,both,2026-01-17__away__rioave,157,Rio Ave,Benfica,0,2,A,0,2,A,9.32,5.04,1.3,10.0,5.25,1.35,SLB_20260117_A_RIOAVE
14288958,2026-01-25,19.0,Home,CF Estrela Amadora,estrelaamadora,Benfica,CF Estrela Amadora,4844331,19,Estrela da Amadora,Benfica,Estrela da Amadora,both,2026-01-25__home__estrelaamadora,167,Benfica,Estrela,4,0,H,1,0,H,1.12,7.72,18.86,1.14,9.0,23.0,SLB_20260125_H_ESTRELAAMADORA
14288966,2026-02-01,20.0,Away,Tondela,tondela,Tondela,Benfica,4844335,20,Tondela,Tondela,Benfica,both,2026-02-01__away__tondela,177,Tondela,Benfica,0,0,D,0,0,D,12.59,5.69,1.21,15.0,6.5,1.24,SLB_20260201_A_TONDELA
14288979,2026-02-08,21.0,Home,FC Alverca,alverca,Benfica,FC Alverca,4844343,21,Alverca,Benfica,Alverca,both,2026-02-08__home__alverca,186,Benfica,Alverca,2,1,H,1,1,D,1.17,6.23,15.65,1.2,6.66,17.0,SLB_20260208_H_ALVERCA
14288997,2026-02-13,22.0,Away,Santa Clara,santaclara,Santa Clara,Benfica,4844356,22,Santa Clara,Santa Clara,Benfica,both,2026-02-13__away__santaclara,189,Santa Clara,Benfica,1,2,A,0,2,A,6.47,3.77,1.51,7.0,4.0,1.55,SLB_20260213_A_SANTACLARA
