match_id,season,date,status,matchday,opponent,venue,goals_for,goals_against,result,points,home_team,away_team
545717,2025/26,2025-08-16,FINISHED,2,CF Estrela da Amadora,Away,1,0,Win,3,CF Estrela da Amadora,Sport Lisboa e Benfica
545721,2025/26,2025-08-23,FINISHED,3,CD Tondela,Home,3,0,Win,3,Sport Lisboa e Benfica,CD Tondela
545729,2025/26,2025-08-31,FINISHED,4,FC Alverca,Away,2,1,Win,3,FC Alverca,Sport Lisboa e Benfica
545742,2025/26,2025-09-12,FINISHED,5,CD Santa Clara,Home,1,1,Draw,1,Sport Lisboa e Benfica,CD Santa Clara
545745,2025/26,2025-09-20,FINISHED,6,AVS,Away,3,0,Win,3,AVS,Sport Lisboa e Benfica
545702,2025/26,2025-09-23,FINISHED,1,Rio Ave FC,Home,1,1,Draw,1,Sport Lisboa e Benfica,Rio Ave FC
545760,2025/26,2025-09-26,FINISHED,7,Gil Vicente FC,Home,2,1,Win,3,Sport Lisboa e Benfica,Gil Vicente FC
545771,2025/26,2025-10-05,FINISHED,8,FC Porto,Away,0,0,Draw,1,FC Porto,Sport Lisboa e Benfica
545779,2025/26,2025-10-25,FINISHED,9,FC Arouca,Home,5,0,Win,3,Sport Lisboa e Benfica,FC Arouca
545789,2025/26,2025-11-01,FINISHED,10,Vitória SC,Away,3,0,Win,3,Vitória SC,Sport Lisboa e Benfica
545796,2025/26,2025-11-09,FINISHED,11,Casa Pia AC,Home,2,2,Draw,1,Sport Lisboa e Benfica,Casa Pia AC
545807,2025/26,2025-11-29,FINISHED,12,CD Nacional,Away,2,1,Win,3,CD Nacional,Sport Lisboa e Benfica
545812,2025/26,2025-12-05,FINISHED,13,Sporting Clube de Portugal,Home,1,1,Draw,1,Sport Lisboa e Benfica,Sporting Clube de Portugal
545824,2025/26,2025-12-14,FINISHED,14,Moreirense FC,Away,4,0,Win,3,Moreirense FC,Sport Lisboa e Benfica
545830,2025/26,2025-12-22,FINISHED,15,FC Famalicão,Home,1,0,Win,3,Sport Lisboa e Benfica,FC Famalicão
545843,2025/26,2025-12-28,FINISHED,16,Sporting Clube de Braga,Away,2,2,Draw,1,Sporting Clube de Braga,Sport Lisboa e Benfica
545848,2025/26,2026-01-03,FINISHED,17,GD Estoril Praia,Home,3,1,Win,3,Sport Lisboa e Benfica,GD Estoril Praia
545855,2025/26,2026-01-17,FINISHED,18,Rio Ave FC,Away,2,0,Win,3,Rio Ave FC,Sport Lisboa e Benfica
545870,2025/26,2026-01-25,FINISHED,19,CF Estrela da Amadora,Home,4,0,Win,3,Sport Lisboa e Benfica,CF Estrela da Amadora
545874,2025/26,2026-02-01,FINISHED,20,CD Tondela,Away,0,0,Draw,1,CD Tondela,Sport Lisboa e Benfica
545882,2025/26,2026-02-08,FINISHED,21,FC Alverca,Home,2,1,Win,3,Sport Lisboa e Benfica,FC Alverca
545895,2025/26,2026-02-13,FINISHED,22,CD Santa Clara,Away,2,1,Win,3,CD Santa Clara,Sport Lisboa e Benfica
545898,2025/26,2026-02-21,FINISHED,23,AVS,Home,3,0,Win,3,Sport Lisboa e Benfica,AVS
545913,2025/26,2026-03-02,FINISHED,24,Gil Vicente FC,Away,2,1,Win,3,Gil Vicente FC,Sport Lisboa e Benfica
545924,2025/26,2026-03-08,FINISHED,25,FC Porto,Home,2,2,Draw,1,Sport Lisboa e Benfica,FC Porto
545932,2025/26,2026-03-14,FINISHED,26,FC Arouca,Away,2,1,Win,3,FC Arouca,Sport Lisboa e Benfica
545942,2025/26,2026-03-21,FINISHED,27,Vitória SC,Home,3,0,Win,3,Sport Lisboa e Benfica,Vitória SC
545949,2025/26,2026-04-06,FINISHED,28,Casa Pia AC,Away,1,1,Draw,1,Casa Pia AC,Sport Lisboa e Benfica
545960,2025/26,2026-04-12,FINISHED,29,CD Nacional,Home,2,0,Win,3,Sport Lisboa e Benfica,CD Nacional
545965,2025/26,2026-04-19,FINISHED,30,Sporting Clube de Portugal,Away,2,1,Win,3,Sporting Clube de Portugal,Sport Lisboa e Benfica
545977,2025/26,2026-04-25,FINISHED,31,Moreirense FC,Home,4,1,Win,3,Sport Lisboa e Benfica,Moreirense FC
545983,2025/26,2026-05-02,FINISHED,32,FC Famalicão,Away,2,2,Draw,1,FC Famalicão,Sport Lisboa e Benfica
545996,2025/26,2026-05-11,FINISHED,33,Sporting Clube de Braga,Home,2,2,Draw,1,Sport Lisboa e Benfica,Sporting Clube de Braga
546001,2025/26,2026-05-16,FINISHED,34,GD Estoril Praia,Away,3,1,Win,3,GD Estoril Praia,Sport Lisboa e Benfica
