opponent,opponent_normalized,clubelo_name,clubelo_country,clubelo_elo,clubelo_normalized,distance
AVS,avs,Macva Sabac,SRB,1049.02087402,macva sabac,0.24242424242424254
AVS,avs,Vasas SC,HUN,1246.13330078,vasas,0.24444444444444446
AVS,avs,GAIS,SWE,1387.08850098,gais,0.2777777777777779
AVS,avs,LASK,AUT,1452.54577637,lask,0.2777777777777779
AVS,avs,Basel,SUI,1436.53771973,basel,0.3111111111111112
Académico de Viseu FC,academico de viseu,Cremonese,ITA,1531.55664062,cremonese,0.2777777777777777
Académico de Viseu FC,academico de viseu,Paide Linnameeskond,EST,1082.51745605,paide linnameeskond,0.30041985305143193
Académico de Viseu FC,academico de viseu,Levadeiakos,GRE,1405.93115234,levadeiakos,0.33859427609427617
Académico de Viseu FC,academico de viseu,Sociedad,ESP,1669.46520996,sociedad,0.3406084656084656
Académico de Viseu FC,academico de viseu,Decic,MNT,1098.27709961,decic,0.3407407407407408
CD Nacional,nacional,Lincoln,GIB,1065.0925293,lincoln,0.26984126984126977
CD Nacional,nacional,Girona,ESP,1635.8059082,girona,0.2777777777777779
CD Nacional,nacional,Napoli,ITA,1780.2956543,napoli,0.28055555555555567
CD Nacional,nacional,Craiova,ROM,1458.68530273,craiova,0.286904761904762
CD Nacional,nacional,Barcelona,ESP,1951.58850098,barcelona,0.3055555555555557
CD Santa Clara,santa clara,Santa Coloma,AND,954.305236816,santa coloma,0.14393939393939392
CD Santa Clara,santa clara,Spartak Varna,BUL,1099.84106445,spartak varna,0.21911421911421924
CD Santa Clara,santa clara,Antalyaspor,TUR,1328.7175293,antalyaspor,0.24242424242424254
CD Santa Clara,santa clara,Sparta Praha,CZE,1547.8470459,sparta praha,0.24368686868686873
CD Santa Clara,santa clara,Santander,ESP,1581.93212891,santander,0.26262626262626276
CD Tondela,tondela,Modena,ITA,1429.02416992,modena,0.2507936507936508
CD Tondela,tondela,Entella,ITA,1358.0847168,entella,0.2571428571428571
CD Tondela,tondela,Sunderland,ENG,1735.93017578,sunderland,0.26190476190476186
CD Tondela,tondela,Aston Villa,ENG,1920.97021484,aston villa,0.2770562770562772
CD Tondela,tondela,Leonesa,ESP,1367.80834961,leonesa,0.2857142857142858
CF Estrela da Amadora,estrela da amadora,Westerlo,BEL,1475.3503418,westerlo,0.292989417989418
CF Estrela da Amadora,estrela da amadora,Sparta Rotterdam,NED,1411.77038574,sparta rotterdam,0.3055555555555557
CF Estrela da Amadora,estrela da amadora,Real Madrid,ESP,1922.91186523,real madrid,0.31178451178451183
CF Estrela da Amadora,estrela da amadora,Entella,ITA,1358.0847168,entella,0.33597883597883604
CF Estrela da Amadora,estrela da amadora,Galatasaray,TUR,1684.27087402,galatasaray,0.33838383838383845
CS Marítimo,cs maritimo,Maritimo,POR,1399.50756836,maritimo,0.09090909090909083
CS Marítimo,cs maritimo,Start,NOR,1294.8314209,start,0.2787878787878788
CS Marítimo,cs maritimo,Milsami Orhei,MOL,1106.4597168,milsami orhei,0.29279979279979285
CS Marítimo,cs maritimo,Charlton,ENG,1452.98547363,charlton,0.3068181818181819
CS Marítimo,cs maritimo,Bari,ITA,1366.16137695,bari,0.3257575757575759
