player_id;player_name;api_position;current_squad;detailed_position;new_signing_2026_27;arrival_date;previous_club;academy_player;validation_source;validation_date;notes
70583;Alexander Bah;Defence;Yes;;FALSE;;;;;;
81816;Amar Dedić;Defence;Yes;;FALSE;;;;;;
185610;Antonio Silva;Defence;No;;;;;;;;
63;Clément Lenglet;Defence;Yes;;TRUE;2026-06-30;Atlético de Madrid;;;;
282871;Daniel Banjaqui;Defence;Yes;;FALSE;;;;;;
297959;Gabriel Índio;Defence;Yes;;TRUE;2026-07-28;Athletic MG;;;;
289781;José Neto;Defence;Yes;;FALSE;;;;;;
265154;Rafa Obrador;Defence;Yes;;FALSE;;;;;;
175753;Samuel Dahl;Defence;Yes;;FALSE;;;;;;
177842;Tomas Araujo;Defence;Yes;;FALSE;;;;;;
111481;Anatolii Trubin;Goalkeeper;Yes;;FALSE;;;;;;
153846;Samuel Soares;Goalkeeper;Yes;;FALSE;;;;;;
158894;Enzo Barrenechea;Midfield;Yes;;FALSE;;;;;;
38088;Fredrik Aursnes;Midfield;Yes;;FALSE;;;;;;
151558;Heorhii Sudakov;Midfield;Yes;;FALSE;;;;;;
251296;João Rêgo;Midfield;Yes;;FALSE;;;;;;
82403;Leandro Barreiro Martins;Midfield;Yes;;FALSE;;;;;;
194008;Manu Silva;Midfield;Yes;;FALSE;;;;;;
170657;Richard Rios;Midfield;Yes;;FALSE;;;;;;
157796;Andreas Schjelderup;Offence;Yes;;FALSE;;;;;;
291341;Anísio Cabral;Offence;Yes;;FALSE;;;;;;
9553;Bruma;Offence;Yes;;FALSE;;;;;;
8128;Dodi Lukebakio;Offence;Yes;;FALSE;;;;;;
183643;Franjo Ivanovic;Offence;Yes;;FALSE;;;;;;
182123;Gianluca Prestianni;Offence;Yes;;FALSE;;;;;;
177322;Henrique Araujo;Offence;No;;;;;;;;
127401;Jakub Kamiński;Offence;Yes;;TRUE;2026-07-07;FC Köln;;;;
104493;Jhon Durán;Offence;Yes;;FALSE;;;;;;
16748;Rafa Silva;Offence;Yes;;FALSE;;;;;;
133573;Tiago Gouveia;Offence;Uncertain;;;;;;;;
67299;Vangelis Pavlidis;Offence;Yes;;FALSE;;;;;;
