player_id,player_name,position,date_of_birth,nationality
111481,Anatolii Trubin,Goalkeeper,2001-08-01,Ukraine
153846,Samuel Soares,Goalkeeper,2002-06-15,Portugal
63,Clément Lenglet,Defence,1995-06-17,France
70583,Alexander Bah,Defence,1997-12-09,Denmark
81816,Amar Dedić,Defence,2002-08-18,Austria
175753,Samuel Dahl,Defence,2003-03-04,Sweden
177842,Tomas Araujo,Defence,2002-05-16,Portugal
185610,Antonio Silva,Defence,2003-10-31,Portugal
265154,Rafa Obrador,Defence,2004-02-24,Spain
282871,Daniel Banjaqui,Defence,2008-03-24,Portugal
289781,José Neto,Defence,2008-04-19,Portugal
297959,Gabriel Índio,Defence,2008-07-26,Brazil
38088,Fredrik Aursnes,Midfield,1995-12-10,Norway
82403,Leandro Barreiro Martins,Midfield,2000-01-03,Luxembourg
151558,Heorhii Sudakov,Midfield,2002-09-01,Ukraine
158894,Enzo Barrenechea,Midfield,2001-05-22,Argentina
170657,Richard Rios,Midfield,2000-06-02,Colombia
194008,Manu Silva,Midfield,2001-06-12,Portugal
251296,João Rêgo,Midfield,2005-06-20,Portugal
8128,Dodi Lukebakio,Offence,1997-09-24,Belgium
9553,Bruma,Offence,1994-10-24,Guinea-Bissau
16748,Rafa Silva,Offence,1993-05-17,Portugal
67299,Vangelis Pavlidis,Offence,1998-11-21,Greece
104493,Jhon Durán,Offence,2003-12-13,Colombia
127401,Jakub Kamiński,Offence,2002-06-05,Poland
133573,Tiago Gouveia,Offence,2001-06-18,Portugal
157796,Andreas Schjelderup,Offence,2004-06-01,Norway
177322,Henrique Araujo,Offence,2002-01-19,Portugal
182123,Gianluca Prestianni,Offence,2006-01-31,Argentina
183643,Franjo Ivanovic,Offence,2003-10-01,Austria
291341,Anísio Cabral,Offence,2008-02-15,Portugal
