Player,Age,Nat.,previous_club,Fee
Richard Ríos Defensive Midfield,25,,Palmeiras Série A,€27.00m
Franjo Ivanović Centre-Forward,21,,Union SG Jupiler Pro League,€22.80m
Dodi Lukébakio Right Winger,27,,Sevilla FC LaLiga,€20.00m
Amar Dedić Right-Back,22,,Salzburg Bundesliga,€12.00m
Samuel Dahl Left-Back,22,,Roma Serie A,€8.55m
Georgiy Sudakov Attacking Midfield,22,,Shakhtar D. Premier Liga,Loan fee: €6.75m
Sidny Lopes Cabral Left-Back,23,,Estrela Amadora Liga Portugal,€6.00m
Rafa Silva Second Striker,32,,Besiktas Süper Lig,€5.00m
Rafa Obrador Left-Back,21,,RM Castilla Primera Federación - Gr. I,€5.00m
Enzo Barrenechea Defensive Midfield,24,,Aston Villa Premier League,Loan fee: €3.00m
João Veloso Central Midfield,20,,Benfica B Liga Portugal 2,-
Anísio Cabral Centre-Forward,17,,Benfica U19 Portugal,-
Casper Tengstedt Centre-Forward,25,,Hellas Verona Serie A,End of loan 30/06/2025
David Jurásek Left-Back,24,,Hoffenheim Bundesliga,End of loan 30/06/2025
David Jurásek Left-Back,25,,Besiktas Süper Lig,End of loan 11/01/2026
Adrian Bajrami Centre-Back,23,,FC Luzern Super League,End of loan 31/12/2025
Martim Neto Central Midfield,22,,Rio Ave Liga Portugal,End of loan 30/06/2025
João Mário Attacking Midfield,32,,Besiktas Süper Lig,End of loan 30/06/2025
Soualiho Meïté Defensive Midfield,31,,PAOK Super League 1,End of loan 30/06/2025
Henrique Araújo Centre-Forward,23,,Arouca Liga Portugal,End of loan 30/06/2025
Sum: €116.10m,Sum: €116.10m,Sum: €116.10m,Sum: €116.10m,Sum: €116.10m
Average age: 24.1,Average age: 24.1,Average age: 24.1,Average age: 24.1,Average age: 24.1
Total market value of arrivals: €145.10m,Total market value of arrivals: €145.10m,Total market value of arrivals: €145.10m,Total market value of arrivals: €145.10m,Total market value of arrivals: €145.10m
