Player,Age,Nat.,next_club,Fee
Álvaro Carreras Left-Back,22,,Real Madrid LaLiga,€50.00m
Kerem Aktürkoğlu Left Winger,26,,Fenerbahçe Süper Lig,€22.50m
Arthur Cabral Centre-Forward,27,,Botafogo Série A,€12.00m
Casper Tengstedt Centre-Forward,25,,Feyenoord Eredivisie,€6.00m
David Jurásek Left-Back,25,,Slavia Praha Chance Liga,€3.00m
Florentino Defensive Midfield,26,,Burnley Premier League,Loan fee: €2.00m
João Mário Attacking Midfield,32,,Besiktas Süper Lig,€2.00m
Martim Neto Central Midfield,22,,Elche CF LaLiga,€1.50m
Soualiho Meïté Defensive Midfield,31,,PAOK Super League 1,€1.00m
Adrian Bajrami Centre-Back,23,,FC Luzern Super League,€900k
Ángel Di María Right Winger,37,,Rosario Central Torneo Clausura,free transfer
Orkun Kökçü Central Midfield,24,,Besiktas Süper Lig,loan transfer
David Jurásek Left-Back,24,,Besiktas Süper Lig,loan transfer
Tiago Gouveia Right Winger,24,,Nice Ligue 1,loan transfer
Rafa Obrador Left-Back,21,,Torino Serie A,loan transfer
Adrian Bajrami Centre-Back,23,,FC Luzern Super League,loan transfer
Leandro Santos Right-Back,19,,Benfica B Liga Portugal 2,-
Zeki Amdouni Centre-Forward,24,,Burnley Premier League,End of loan 30/06/2025
Samuel Dahl Left-Back,22,,Roma Serie A,End of loan 30/06/2025
Renato Sanches Central Midfield,27,,PSG Ligue 1,End of loan 30/06/2025
Andrea Belotti Centre-Forward,31,,Como Serie A,End of loan 30/06/2025
Sum: €100.90m,Sum: €100.90m,Sum: €100.90m,Sum: €100.90m,Sum: €100.90m
Average age: 25.5,Average age: 25.5,Average age: 25.5,Average age: 25.5,Average age: 25.5
Total market value of departures: €180.60m,Total market value of departures: €180.60m,Total market value of departures: €180.60m,Total market value of departures: €180.60m,Total market value of departures: €180.60m
