benfica_match_id,event_id,date,competition,season,round,venue,opponent,home_team,away_team,benfica__attack__big_chances_missed,benfica__attack__big_chances_scored,benfica__attack__fouled_in_final_third,benfica__attack__offsides,benfica__attack__through_balls,benfica__attack__touches_in_penalty_area,benfica__defending__clearances,benfica__defending__errors_lead_to_a_goal,benfica__defending__errors_lead_to_a_shot,benfica__defending__interceptions,benfica__defending__recoveries,benfica__defending__tackles_won,benfica__defending__total_tackles,benfica__duels__aerial_duels,benfica__duels__dispossessed,benfica__duels__dribbles,benfica__duels__duels,benfica__duels__ground_duels,benfica__goalkeeping__big_saves,benfica__goalkeeping__goal_kicks,benfica__goalkeeping__goals_prevented,benfica__goalkeeping__high_claims,benfica__goalkeeping__penalty_saves,benfica__goalkeeping__punches,benfica__goalkeeping__total_saves,benfica__match_overview__ball_possession,benfica__match_overview__big_chances,benfica__match_overview__corner_kicks,benfica__match_overview__distance_covered,benfica__match_overview__expected_goals,benfica__match_overview__fouls,benfica__match_overview__free_kicks,benfica__match_overview__goalkeeper_saves,benfica__match_overview__number_of_sprints,benfica__match_overview__passes,benfica__match_overview__red_cards,benfica__match_overview__tackles,benfica__match_overview__total_shots,benfica__match_overview__yellow_cards,benfica__passes__accurate_passes,benfica__passes__crosses,benfica__passes__final_third_entries,benfica__passes__final_third_phase,benfica__passes__long_balls,benfica__passes__throw_ins,benfica__shots__blocked_shots,benfica__shots__hit_woodwork,benfica__shots__shots_inside_box,benfica__shots__shots_off_target,benfica__shots__shots_on_target,benfica__shots__shots_outside_box,benfica__shots__total_shots,opponent__attack__big_chances_missed,opponent__attack__big_chances_scored,opponent__attack__fouled_in_final_third,opponent__attack__offsides,opponent__attack__through_balls,opponent__attack__touches_in_penalty_area,opponent__defending__clearances,opponent__defending__errors_lead_to_a_goal,opponent__defending__errors_lead_to_a_shot,opponent__defending__interceptions,opponent__defending__recoveries,opponent__defending__tackles_won,opponent__defending__total_tackles,opponent__duels__aerial_duels,opponent__duels__dispossessed,opponent__duels__dribbles,opponent__duels__duels,opponent__duels__ground_duels,opponent__goalkeeping__big_saves,opponent__goalkeeping__goal_kicks,opponent__goalkeeping__goals_prevented,opponent__goalkeeping__high_claims,opponent__goalkeeping__penalty_saves,opponent__goalkeeping__punches,opponent__goalkeeping__total_saves,opponent__match_overview__ball_possession,opponent__match_overview__big_chances,opponent__match_overview__corner_kicks,opponent__match_overview__distance_covered,opponent__match_overview__expected_goals,opponent__match_overview__fouls,opponent__match_overview__free_kicks,opponent__match_overview__goalkeeper_saves,opponent__match_overview__number_of_sprints,opponent__match_overview__passes,opponent__match_overview__red_cards,opponent__match_overview__tackles,opponent__match_overview__total_shots,opponent__match_overview__yellow_cards,opponent__passes__accurate_passes,opponent__passes__crosses,opponent__passes__final_third_entries,opponent__passes__final_third_phase,opponent__passes__long_balls,opponent__passes__throw_ins,opponent__shots__blocked_shots,opponent__shots__hit_woodwork,opponent__shots__shots_inside_box,opponent__shots__shots_off_target,opponent__shots__shots_on_target,opponent__shots__shots_outside_box,opponent__shots__total_shots
,14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,Nice,Benfica,2.0,1.0,1,3.0,,21,28,,0.0,13,44,83%,23,10/18 (56%),8,8/12 (67%),52%,40/78 (51%),0.0,11,,0.0,,,2,53%,3.0,5,,,14,9,2,,488,,23,13,1.0,419,4/11 (36%),52,82/113 (73%),24/53 (45%),12,4,0,9,3,6,4,13,1.0,0.0,2,1.0,,15,14,,2.0,10,41,42%,12,8/18 (44%),9,12/26 (46%),48%,38/78 (49%),2.0,6,,2.0,,,4,47%,1.0,4,,,9,14,4,,434,,12,12,3.0,377,0/10 (0%),35,77/101 (76%),18/36 (50%),20,3,0,5,7,2,7,12
,14241253,2025-08-12,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Home,Nice,Benfica,Nice,1.0,1.0,1,2.0,2.0,45,30,,1.0,8,45,69%,16,17/26 (65%),8,3/10 (30%),58%,32/59 (54%),,8,,2.0,,1.0,0,58%,2.0,6,,,9,13,0,,536,,16,21,1.0,469,6/12 (50%),51,99/133 (74%),33/56 (59%),18,8,1,14,8,5,7,21,0.0,0.0,4,2.0,0.0,17,20,,0.0,10,43,67%,15,9/26 (35%),6,4/14 (29%),42%,27/59 (46%),,7,,0.0,,0.0,3,42%,0.0,6,,,13,9,3,,370,,15,9,2.0,298,4/22 (18%),35,72/100 (72%),10/29 (34%),19,5,1,8,4,0,1,9
SLB_20250816_A_ESTRELAAMADORA,14131876,2025-08-16,Liga Portugal Betclic,Liga Portugal 25/26,2.0,Away,CF Estrela Amadora,CF Estrela Amadora,Benfica,1.0,1.0,3,1.0,,24,18,,2.0,4,35,70%,10,22/45 (49%),7,1/8 (13%),41%,23/66 (35%),1.0,12,0.39,1.0,,1.0,2,57%,2.0,4,94.5 km,2.41,23,13,2,144.0,365,,10,14,3.0,287,4/11 (36%),50,68/106 (64%),30/63 (48%),24,4,0,9,7,3,5,14,3.0,0.0,4,1.0,,13,21,,1.0,5,43,86%,14,23/45 (51%),7,8/11 (73%),59%,43/66 (65%),1.0,9,0.78,0.0,,0.0,2,43%,3.0,5,83.3 km,1.41,14,23,2,132.0,275,,14,15,3.0,207,3/9 (33%),42,36/73 (49%),29/56 (52%),18,4,1,5,9,2,10,15
,14348668,2025-08-20,"UEFA Champions League, Playoff Round",UEFA Champions League 25/26,636.0,Away,Fenerbahçe,Fenerbahçe,Benfica,,,1,0.0,,15,24,,,5,42,69%,13,12/27 (44%),5,7/18 (39%),46%,34/73 (47%),1.0,4,,2.0,,,6,47%,,4,,,18,16,6,,403,1.0,13,9,5.0,329,3/10 (30%),52,83/117 (71%),21/47 (45%),21,3,0,3,3,3,6,9,,,2,2.0,,13,15,,,3,49,69%,16,15/27 (56%),8,5/10 (50%),54%,39/73 (53%),2.0,6,,0.0,,,3,53%,,4,,,16,18,3,,451,0.0,16,14,3.0,383,4/22 (18%),45,71/96 (74%),22/47 (47%),12,4,1,4,4,6,10,14
SLB_20250823_H_TONDELA,14131880,2025-08-23,Liga Portugal Betclic,Liga Portugal 25/26,3.0,Home,Tondela,Benfica,Tondela,4.0,2.0,0,1.0,3.0,46,17,,1.0,11,44,54%,13,13/26 (50%),5,19/24 (79%),58%,43/70 (61%),0.0,5,0.95,,,,4,66%,6.0,13,,2.96,10,12,4,,547,,13,21,2.0,477,9/29 (31%),53,123/156 (79%),25/41 (61%),19,4,1,19,5,12,2,21,0.0,0.0,4,1.0,0.0,13,35,,0.0,6,41,70%,10,13/26 (50%),5,8/16 (50%),42%,27/70 (39%),3.0,8,-0.03,,,,7,34%,0.0,2,,0.47,12,10,7,,282,,10,9,2.0,228,2/21 (10%),37,63/78 (81%),18/35 (51%),16,3,0,6,2,4,3,9
,14348673,2025-08-27,"UEFA Champions League, Playoff Round",UEFA Champions League 25/26,636.0,Home,Fenerbahçe,Benfica,Fenerbahçe,3.0,1.0,4,4.0,,33,9,,0.0,9,39,38%,8,22/44 (50%),13,8/20 (40%),46%,34/78 (44%),0.0,6,,1.0,,,0,53%,4.0,4,,,11,20,0,,424,0.0,8,15,2.0,344,6/13 (46%),60,80/121 (66%),24/53 (45%),18,6,0,11,6,3,4,15,1.0,0.0,2,4.0,,10,21,,1.0,7,49,48%,25,22/44 (50%),2,9/15 (60%),54%,44/78 (56%),2.0,5,,1.0,,,2,47%,1.0,1,,,20,11,2,,380,1.0,25,6,4.0,298,3/13 (23%),41,43/67 (64%),23/51 (45%),15,2,1,3,4,0,3,6
SLB_20250831_A_ALVERCA,14131888,2025-08-31,Liga Portugal Betclic,Liga Portugal 25/26,4.0,Away,FC Alverca,FC Alverca,Benfica,0.0,1.0,2,,1.0,20,27,1.0,,8,39,60%,15,9/16 (56%),8,9/13 (69%),49%,36/76 (47%),1.0,4,1.13,1.0,,,6,53%,1.0,2,95.7 km,1.03,18,12,6,141.0,493,1.0,15,6,6.0,441,3/12 (25%),62,156/189 (83%),20/39 (51%),12,2,1,4,2,2,2,6,1.0,0.0,3,,0.0,16,12,1.0,,4,39,75%,12,7/16 (44%),5,12/22 (55%),51%,40/76 (53%),0.0,6,-0.74,0.0,,,0,47%,1.0,5,100.0 km,0.81,12,18,0,146.0,420,0.0,12,11,4.0,368,3/22 (14%),39,76/97 (78%),23/41 (56%),15,1,0,9,3,7,2,11
SLB_20250912_H_SANTACLARA,14131901,2025-09-12,Liga Portugal Betclic,Liga Portugal 25/26,5.0,Home,Santa Clara,Benfica,Santa Clara,1.0,1.0,4,2.0,1.0,39,11,1.0,1.0,3,44,76%,17,25/47 (53%),5,8/15 (53%),56%,35/60 (58%),1.0,3,-0.07,0.0,,0.0,5,78%,2.0,4,93.4 km,1.62,8,11,5,78.0,727,0.0,17,19,1.0,653,11/40 (28%),106,289/338 (86%),31/46 (67%),25,5,0,10,7,7,9,19,2.0,1.0,0,0.0,0.0,12,50,0.0,0.0,10,36,58%,12,22/47 (47%),9,6/14 (43%),44%,25/60 (42%),2.0,14,0.79,1.0,,1.0,6,22%,3.0,5,89.6 km,1.02,11,8,6,70.0,209,1.0,12,9,1.0,137,2/8 (25%),33,12/40 (30%),16/52 (31%),17,2,0,6,2,5,3,9
,14566738,2025-09-16,UEFA Champions League,UEFA Champions League 25/26,1.0,Home,Qarabağ FK,Benfica,Qarabağ FK,0.0,2.0,2,1.0,,28,14,,1.0,9,61,47%,19,10/20 (50%),7,9/18 (50%),49%,33/67 (49%),1.0,5,-0.27,0.0,,,2,53%,2.0,8,119.9 km,1.38,11,6,2,121.0,477,,19,14,,408,1/16 (6%),65,132/173 (76%),32/49 (65%),19,6,1,6,5,3,8,14,1.0,0.0,2,1.0,,24,31,,1.0,10,49,63%,16,10/20 (50%),9,7/17 (41%),51%,34/67 (51%),0.0,13,-0.63,1.0,,,1,47%,1.0,3,119.3 km,1.52,6,11,1,125.0,432,,16,10,,352,2/8 (25%),40,55/84 (65%),21/48 (44%),18,2,1,9,3,5,1,10
SLB_20250920_A_AVSFUTEBOLSAD,14131904,2025-09-20,Liga Portugal Betclic,Liga Portugal 25/26,6.0,Away,AVS - Futebol SAD,AVS - Futebol SAD,Benfica,2.0,3.0,5,3.0,2.0,44,29,,,10,49,30%,20,23/43 (53%),12,6/19 (32%),49%,43/92 (47%),,9,0.1,,,1.0,1,63%,5.0,1,58.5 km,2.4,11,16,1,85.0,530,,20,19,1.0,473,4/10 (40%),59,112/143 (78%),31/52 (60%),17,7,0,12,6,6,7,19,1.0,0.0,1,0.0,0.0,16,18,,,5,44,52%,25,20/43 (47%),10,15/25 (60%),51%,49/92 (53%),,8,-0.71,,,0.0,2,37%,1.0,2,60.0 km,0.88,17,11,2,91.0,303,,25,8,1.0,234,5/17 (29%),42,47/79 (59%),25/51 (49%),18,2,1,6,5,1,2,8
