event_id,date,competition,season,round,venue,opponent,home_team,away_team,period,group,metric,benfica_value,opponent_value,home_value,away_value
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,Nice,Benfica,1ST,Attack,Big chances missed,1,0,0,1
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,Nice,Benfica,1ST,Attack,Big chances scored,0,0,0,0
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,Nice,Benfica,1ST,Attack,Fouled in final third,1,0,0,1
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,Nice,Benfica,1ST,Attack,Offsides,3,1,1,3
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,Nice,Benfica,1ST,Defending,Clearances,13,10,10,13
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,Nice,Benfica,1ST,Defending,Interceptions,5,4,4,5
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,Nice,Benfica,1ST,Defending,Recoveries,16,18,18,16
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,Nice,Benfica,1ST,Defending,Tackles won,89%,40%,40%,89%
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,Nice,Benfica,1ST,Defending,Total tackles,9,5,5,9
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,Nice,Benfica,1ST,Duels,Aerial duels,6/7 (86%),1/7 (14%),1/7 (14%),6/7 (86%)
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,Nice,Benfica,1ST,Duels,Dispossessed,4,4,4,4
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,Nice,Benfica,1ST,Duels,Dribbles,4/5 (80%),3/8 (38%),3/8 (38%),4/5 (80%)
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,Nice,Benfica,1ST,Duels,Duels,62%,38%,38%,62%
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,Nice,Benfica,1ST,Duels,Ground duels,18/32 (56%),14/32 (44%),14/32 (44%),18/32 (56%)
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,Nice,Benfica,1ST,Goalkeeping,Goal kicks,5,3,3,5
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,Nice,Benfica,1ST,Goalkeeping,Total saves,1,3,3,1
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,Nice,Benfica,1ST,Match overview,Ball possession,61%,39%,39%,61%
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,Nice,Benfica,1ST,Match overview,Big chances,1,0,0,1
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,Nice,Benfica,1ST,Match overview,Corner kicks,5,3,3,5
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,Nice,Benfica,1ST,Match overview,Free kicks,5,6,6,5
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,Nice,Benfica,1ST,Match overview,Goalkeeper saves,1,3,3,1
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,Nice,Benfica,1ST,Match overview,Passes,251,162,162,251
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,Nice,Benfica,1ST,Match overview,Tackles,9,5,5,9
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,Nice,Benfica,1ST,Match overview,Total shots,8,5,5,8
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,Nice,Benfica,1ST,Match overview,Yellow cards,1,1,1,1
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,Nice,Benfica,1ST,Passes,Accurate passes,218,141,141,218
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,Nice,Benfica,1ST,Passes,Crosses,3/8 (38%),0/5 (0%),0/5 (0%),3/8 (38%)
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,Nice,Benfica,1ST,Passes,Final third entries,29,8,8,29
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,Nice,Benfica,1ST,Passes,Long balls,12/26 (46%),10/18 (56%),10/18 (56%),12/26 (46%)
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,Nice,Benfica,1ST,Passes,Throw-ins,6,8,8,6
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,Nice,Benfica,1ST,Shots,Blocked shots,4,0,0,4
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,Nice,Benfica,1ST,Shots,Hit woodwork,0,0,0,0
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,Nice,Benfica,1ST,Shots,Shots inside box,6,2,2,6
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,Nice,Benfica,1ST,Shots,Shots off target,1,4,4,1
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,Nice,Benfica,1ST,Shots,Shots on target,3,1,1,3
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,Nice,Benfica,1ST,Shots,Shots outside box,2,3,3,2
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,Nice,Benfica,1ST,Shots,Total shots,8,5,5,8
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,Nice,Benfica,2ND,Attack,Big chances missed,1,1,1,1
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,Nice,Benfica,2ND,Attack,Big chances scored,1,0,0,1
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,Nice,Benfica,2ND,Attack,Fouled in final third,0,2,2,0
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,Nice,Benfica,2ND,Attack,Offsides,0,0,0,0
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,Nice,Benfica,2ND,Defending,Clearances,15,4,4,15
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,Nice,Benfica,2ND,Defending,Interceptions,8,6,6,8
