event_id,date,competition,season,round,venue,opponent,player_id,player,position,shirt_number,starter,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,savedShotsFromInsideTheBox,penaltyFaced,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,goalsPrevented,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,totalCross,accurateCross,duelLost,dispossessed,totalContest,outfielderBlock,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,topSpeed,kilometersCovered,numberOfSprints,totalProgressiveBallCarriesDistance,progressiveBallCarriesCount,keyPass,metersCoveredRunningKm,metersCoveredHighSpeedRunningKm,metersCoveredSprintingKm,aerialLost,bigChanceMissed,shotOffTarget,onTargetScoringAttempt,fouls,expectedGoals,expectedGoalsOnTarget,shotValueNormalized,challengeLost,goals,bigChanceCreated,penaltyConceded,wonContest,errorLeadToAGoal,totalOffside,blockedScoringAttempt,errorLeadToAShot,clearanceOffLine,penaltyWon,goodHighClaim,hitWoodwork,metersCoveredWalkingKm,metersCoveredJoggingKm,lastManTackle,penaltyMiss,penaltySave,crossNotClaimed,ownGoals
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,1102791,Amar Dedić,D,17,True,58.0,51.0,1.0,1.0,0.0,27.0,30.0,24.0,28.0,2.0,7.0,2.0,3.0,,,,,,,90.0,79.0,7.5,11.0,,,,,,,"{'original': 7.5, 'alternative': 7.5}",0,,0.12,0.45,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1.0,1.0,4.0,,5.0,,1.0,1.0,1.0,3.0,,,,,,,1.0,,,,,,,,3.0,,,,,,,,4.0,,,,,,,,,,,,,,,
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,966616,Anatoliy Trubin,G,1,True,34.0,24.0,15.0,5.0,0.0,22.0,24.0,2.0,10.0,,,,6.0,2.0,,2.0,,,,90.0,37.0,6.8,10.0,,,,,,0.0656,"{'original': 6.8, 'alternative': 7.1}",0,,0.04,0.01,0.23,0.08,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,1100952,Andreas Schjelderup,M,21,True,25.0,23.0,2.0,2.0,0.0,6.0,6.0,17.0,19.0,,4.0,,3.0,,,,,,,66.0,32.0,7.8,3.0,,,,,,,"{'original': 7.8, 'alternative': 7.4}",2,,0.49,0.54,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1.0,,2.0,,,,,2.0,2.0,,2.0,,,,,,2.0,,,,1.0,,,,1.0,,,-0.57,,,1.0,,,,1.0,2.0,,,,,,,,,,,,
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,1006069,António Silva,D,4,True,59.0,56.0,5.0,3.0,0.0,39.0,41.0,17.0,18.0,1.0,1.0,9.0,1.0,,,,,,,90.0,71.0,7.1,3.0,,,,,,,"{'original': 7.1, 'alternative': 7.1}",0,,0.21,0.11,0.33,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,4.0,,,2.0,,,,,,,,,,,,,,,2.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,1087316,Enzo Barrenechea,M,5,True,55.0,49.0,4.0,2.0,0.0,20.0,22.0,29.0,33.0,1.0,7.0,2.0,4.0,,,,,,,77.0,72.0,7.6,10.0,,,,,,,"{'original': 7.6, 'alternative': 7.8}",1,,0.19,0.07,0.39,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1.0,,1.0,,,,1.0,3.0,3.0,2.0,3.0,,,,,,2.0,,,,,,,,,,,-0.07,1.0,,1.0,,,,,1.0,,,,,,,,,,,,
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,1103333,Franjo Ivanović,F,9,True,26.0,19.0,1.0,,0.0,7.0,9.0,12.0,17.0,2.0,7.0,,2.0,,,,,,,77.0,44.0,8.0,13.0,,,,,,,"{'original': 8, 'alternative': 7.5}",4,,-0.51,0.47,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,4.0,2.0,2.0,,,3.0,3.0,2.0,1.0,,,,,,,,,,,1.0,2.0,2.0,1.0,,,0.39,,1.0,,,1.0,,1.0,,,,,,,,,,,,,
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,228364,Fredrik Aursnes,M,8,True,38.0,30.0,5.0,2.0,1.0,9.0,14.0,21.0,24.0,,3.0,1.0,4.0,,,,,,,90.0,50.0,6.9,9.0,,,,,,,"{'original': 6.9, 'alternative': 7.6}",0,,0.27,0.16,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2.0,1.0,6.0,,,,3.0,3.0,3.0,,,,,,,,2.0,,,,3.0,,,,1.0,,,,2.0,,1.0,,,,,,,,,,,,,,,,,
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,74915,Nicolás Otamendi,D,30,True,60.0,53.0,10.0,4.0,0.0,40.0,40.0,13.0,20.0,3.0,5.0,11.0,5.0,,,,,,,90.0,80.0,7.4,11.0,,,,,,,"{'original': 7.4, 'alternative': 7.5}",1,,0.25,0.07,0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,3.0,1.0,,,2.0,2.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,-0.12,2.0,,,,,,,1.0,,,,,,,,,,,,
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,1015292,Richard Ríos,M,20,True,68.0,62.0,5.0,3.0,0.0,42.0,44.0,20.0,24.0,,6.0,1.0,6.0,,,,,,,90.0,87.0,6.9,11.0,,,,,,,"{'original': 6.9, 'alternative': 7}",1,,-0.08,0.33,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,9.0,2.0,1.0,,2.0,5.0,3.0,2.0,1.0,,,,,,,,,,,,,1.0,4.0,,,0.01,2.0,,,,,,,,,,,,,,,,,,,
14241230,2025-08-06,"UEFA Champions League, Qualification",UEFA Champions League 25/26,3.0,Away,Nice,993101,Samuel Dahl,D,26,True,30.0,26.0,3.0,1.0,1.0,7.0,9.0,19.0,21.0,,4.0,1.0,3.0,,,,,,,90.0,54.0,7.2,11.0,,,,,,,"{'original': 7.2, 'alternative': 7.7}",0,,0.3,0.02,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6.0,2.0,1.0,,1.0,,2.0,3.0,2.0,2.0,,,,,,,3.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,
