metric,rows_available,games_available,players_available,row_coverage_percent
totalShots,1122,54,45,100.0
statisticsType,1122,54,45,100.0
goalAssist,811,54,37,72.3
minutesPlayed,811,54,37,72.3
touches,803,54,37,71.6
totalPass,796,54,35,70.9
totalOppositionHalfPasses,787,54,35,70.1
rating,787,54,34,70.1
ratingVersions,787,54,34,70.1
accuratePass,785,54,34,70.0
passValueNormalized,779,54,34,69.4
defensiveValueNormalized,779,54,34,69.4
possessionLostCtrl,774,54,34,69.0
accurateOppositionHalfPasses,761,54,34,67.8
dribbleValueNormalized,756,54,34,67.4
totalOwnHalfPasses,744,54,33,66.3
accurateOwnHalfPasses,732,54,33,65.2
duelWon,697,54,34,62.1
ballRecovery,688,54,34,61.3
duelLost,667,54,31,59.4
totalLongBalls,582,54,29,51.9
wasFouled,458,54,31,40.8
accurateLongBalls,452,54,27,40.3
totalTackle,451,54,26,40.2
unsuccessfulTouch,434,54,30,38.7
shotValueNormalized,430,54,29,38.3
totalContest,427,54,31,38.1
totalClearance,391,54,27,34.8
aerialWon,386,54,28,34.4
aerialLost,384,54,26,34.2
fouls,367,54,29,32.7
keyPass,362,54,25,32.3
wonTackle,348,54,24,31.0
totalCross,344,54,27,30.7
dispossessed,304,54,29,27.1
challengeLost,299,54,25,26.6
wonContest,294,54,29,26.2
interceptionWon,273,54,24,24.3
shotOffTarget,236,54,27,21.0
onTargetScoringAttempt,222,54,25,19.8
blockedScoringAttempt,203,53,24,18.1
accurateCross,166,53,20,14.8
outfielderBlock,114,52,17,10.2
saves,49,48,2,4.4
goalkeeperValueNormalized,49,48,2,4.4
keeperSaveValue,48,47,2,4.3
bigChanceCreated,86,46,19,7.7
goals,86,45,23,7.7
expectedAssists,639,44,34,57.0
expectedGoals,354,44,28,31.6
expectedGoalsOnTarget,178,44,24,15.9
bigChanceMissed,80,44,16,7.1
goalsPrevented,41,41,2,3.7
savedShotsFromInsideTheBox,40,39,2,3.6
totalOffside,67,38,15,6.0
totalBallCarriesDistance,469,33,29,41.8
ballCarriesCount,469,33,29,41.8
totalProgression,469,33,29,41.8
bestBallCarryProgression,374,33,29,33.3
kilometersCovered,436,32,30,38.9
numberOfSprints,436,32,30,38.9
metersCoveredRunningKm,436,32,30,38.9
metersCoveredHighSpeedRunningKm,436,32,30,38.9
metersCoveredSprintingKm,436,32,30,38.9
topSpeed,432,32,30,38.5
progressiveBallCarriesCount,334,27,26,29.8
totalProgressiveBallCarriesDistance,246,27,24,21.9
hitWoodwork,25,21,13,2.2
errorLeadToAShot,24,21,13,2.1
punches,17,17,2,1.5
goodHighClaim,16,16,2,1.4
penaltyWon,16,14,10,1.4
errorLeadToAGoal,13,12,6,1.2
totalKeeperSweeper,12,12,2,1.1
accurateKeeperSweeper,12,12,2,1.1
metersCoveredWalkingKm,144,10,24,12.8
metersCoveredJoggingKm,144,10,24,12.8
penaltyFaced,4,4,1,0.4
penaltyConceded,4,4,3,0.4
penaltyMiss,4,4,2,0.4
lastManTackle,3,3,3,0.3
clearanceOffLine,2,2,2,0.2
penaltySave,2,2,1,0.2
ownGoals,2,2,2,0.2
crossNotClaimed,1,1,1,0.1
