movement,player,player_id,player_url,position,age,nationality,club,club_id,club_url,competition,competition_id,fee,transfer_id
Arrival,Richard Ríos,735573,https://www.transfermarkt.com/richard-rios/profil/spieler/735573,Defensive Midfield,25,Colombia,Palmeiras,1023,https://www.transfermarkt.com/se-palmeiras-sao-paulo/startseite/verein/1023,Série A,BRA1,€27.00m,5802697
Arrival,Franjo Ivanović,548028,https://www.transfermarkt.com/franjo-ivanovic/profil/spieler/548028,Centre-Forward,21,Croatia,Union SG,3948,https://www.transfermarkt.com/royale-union-saint-gilloise/startseite/verein/3948,Jupiler Pro League,BE1,€22.80m,5825655
Arrival,Dodi Lukébakio,303259,https://www.transfermarkt.com/dodi-lukebakio/profil/spieler/303259,Right Winger,27,Belgium,Sevilla FC,368,https://www.transfermarkt.com/fc-sevilla/startseite/verein/368,LaLiga,ES1,€20.00m,5911725
Arrival,Amar Dedić,519184,https://www.transfermarkt.com/amar-dedic/profil/spieler/519184,Right-Back,22,Bosnia-Herzegovina,Salzburg,409,https://www.transfermarkt.com/red-bull-salzburg/startseite/verein/409,Bundesliga,A1,€12.00m,5778524
Arrival,Samuel Dahl,605396,https://www.transfermarkt.com/samuel-dahl/profil/spieler/605396,Left-Back,22,Sweden,Roma,12,https://www.transfermarkt.com/as-rom/startseite/verein/12,Serie A,IT1,€8.55m,5701759
Arrival,Georgiy Sudakov,623325,https://www.transfermarkt.com/georgiy-sudakov/profil/spieler/623325,Attacking Midfield,22,Ukraine,Shakhtar D.,660,https://www.transfermarkt.com/shakhtar-donetsk/startseite/verein/660,Premier Liga,UKR1,Loan fee: €6.75m,5904942
Arrival,Sidny Lopes Cabral,611855,https://www.transfermarkt.com/sidny-lopes-cabral/profil/spieler/611855,Left-Back,23,Cape Verde,Estrela Amadora,2431,https://www.transfermarkt.com/cf-estrela-amadora-sad/startseite/verein/2431,Liga Portugal,PO1,€6.00m,6085358
Arrival,Rafa Silva,238055,https://www.transfermarkt.com/rafa-silva/profil/spieler/238055,Second Striker,32,Portugal,Besiktas,114,https://www.transfermarkt.com/besiktas-istanbul/startseite/verein/114,Süper Lig,TR1,€5.00m,6137655
Arrival,Rafa Obrador,646747,https://www.transfermarkt.com/rafa-obrador/profil/spieler/646747,Left-Back,21,Spain,RM Castilla,6767,https://www.transfermarkt.com/real-madrid-b-castilla-/startseite/verein/6767,Primera Federación - Gr. I,E3G1,€5.00m,5770133
Arrival,Enzo Barrenechea,671915,https://www.transfermarkt.com/enzo-barrenechea/profil/spieler/671915,Defensive Midfield,24,Argentina,Aston Villa,405,https://www.transfermarkt.com/aston-villa/startseite/verein/405,Premier League,GB1,Loan fee: €3.00m,5791411
Arrival,João Veloso,637792,https://www.transfermarkt.com/joao-veloso/profil/spieler/637792,Central Midfield,20,Portugal,Benfica B,10330,https://www.transfermarkt.com/benfica-lissabon-b/startseite/verein/10330,Liga Portugal 2,PO2,-,5965106
Arrival,Anísio Cabral,1092964,https://www.transfermarkt.com/anisio-cabral/profil/spieler/1092964,Centre-Forward,17,Portugal,Benfica U19,8889,https://www.transfermarkt.com/benfica-lissabon-u19/startseite/verein/8889,,,-,6177092
Arrival,Casper Tengstedt,464598,https://www.transfermarkt.com/casper-tengstedt/profil/spieler/464598,Centre-Forward,25,Denmark,Hellas Verona,276,https://www.transfermarkt.com/hellas-verona/startseite/verein/276,Serie A,IT1,End of loan 30/06/2025,5184055
Arrival,David Jurásek,500054,https://www.transfermarkt.com/david-jurasek/profil/spieler/500054,Left-Back,24,Czech Republic,Hoffenheim,533,https://www.transfermarkt.com/tsg-1899-hoffenheim/startseite/verein/533,Bundesliga,L1,End of loan 30/06/2025,4838088
Arrival,David Jurásek,500054,https://www.transfermarkt.com/david-jurasek/profil/spieler/500054,Left-Back,25,Czech Republic,Besiktas,114,https://www.transfermarkt.com/besiktas-istanbul/startseite/verein/114,Süper Lig,TR1,End of loan 11/01/2026,5737224
Arrival,Adrian Bajrami,582987,https://www.transfermarkt.com/adrian-bajrami/profil/spieler/582987,Centre-Back,23,Switzerland,FC Luzern,434,https://www.transfermarkt.com/fc-luzern/startseite/verein/434,Super League,C1,End of loan 31/12/2025,5778089
Arrival,Martim Neto,549027,https://www.transfermarkt.com/martim-neto/profil/spieler/549027,Central Midfield,22,Portugal,Rio Ave,2425,https://www.transfermarkt.com/rio-ave-fc/startseite/verein/2425,Liga Portugal,PO1,End of loan 30/06/2025,5243431
Arrival,João Mário,149729,https://www.transfermarkt.com/joao-mario/profil/spieler/149729,Attacking Midfield,32,Portugal,Besiktas,114,https://www.transfermarkt.com/besiktas-istanbul/startseite/verein/114,Süper Lig,TR1,End of loan 30/06/2025,5248968
Arrival,Soualiho Meïté,164913,https://www.transfermarkt.com/soualiho-meite/profil/spieler/164913,Defensive Midfield,31,France,PAOK,1091,https://www.transfermarkt.com/paok-thessaloniki/startseite/verein/1091,Super League 1,GR1,End of loan 30/06/2025,5477968
Arrival,Henrique Araújo,617267,https://www.transfermarkt.com/henrique-araujo/profil/spieler/617267,Centre-Forward,23,Portugal,Arouca,8024,https://www.transfermarkt.com/fc-arouca/startseite/verein/8024,Liga Portugal,PO1,End of loan 30/06/2025,5110215
