movement,player,player_id,player_url,position,age,nationality,club,club_id,club_url,competition,competition_id,fee,transfer_id
Departure,Álvaro Carreras,811778,https://www.transfermarkt.com/alvaro-carreras/profil/spieler/811778,Left-Back,22,Spain,Real Madrid,418,https://www.transfermarkt.com/real-madrid/startseite/verein/418,LaLiga,ES1,€50.00m,5778453
Departure,Kerem Aktürkoğlu,382528,https://www.transfermarkt.com/kerem-akturkoglu/profil/spieler/382528,Left Winger,26,Türkiye,Fenerbahçe,36,https://www.transfermarkt.com/fenerbahce-istanbul/startseite/verein/36,Süper Lig,TR1,€22.50m,5909187
Departure,Arthur Cabral,390638,https://www.transfermarkt.com/arthur-cabral/profil/spieler/390638,Centre-Forward,27,Brazil,Botafogo,537,https://www.transfermarkt.com/botafogo-rio-de-janeiro/startseite/verein/537,Série A,BRA1,€12.00m,5695720
Departure,Casper Tengstedt,464598,https://www.transfermarkt.com/casper-tengstedt/profil/spieler/464598,Centre-Forward,25,Denmark,Feyenoord,234,https://www.transfermarkt.com/feyenoord-rotterdam/startseite/verein/234,Eredivisie,NL1,€6.00m,5808180
Departure,David Jurásek,500054,https://www.transfermarkt.com/david-jurasek/profil/spieler/500054,Left-Back,25,Czech Republic,Slavia Praha,62,https://www.transfermarkt.com/sk-slavia-prag/startseite/verein/62,Chance Liga,TS1,€3.00m,6114914
Departure,Florentino,357162,https://www.transfermarkt.com/florentino/profil/spieler/357162,Defensive Midfield,26,Portugal,Burnley,1132,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132,Premier League,GB1,Loan fee: €2.00m,5910985
Departure,João Mário,149729,https://www.transfermarkt.com/joao-mario/profil/spieler/149729,Attacking Midfield,32,Portugal,Besiktas,114,https://www.transfermarkt.com/besiktas-istanbul/startseite/verein/114,Süper Lig,TR1,€2.00m,5249909
Departure,Martim Neto,549027,https://www.transfermarkt.com/martim-neto/profil/spieler/549027,Central Midfield,22,Portugal,Elche CF,1531,https://www.transfermarkt.com/fc-elche/startseite/verein/1531,LaLiga,ES1,€1.50m,5824180
Departure,Soualiho Meïté,164913,https://www.transfermarkt.com/soualiho-meite/profil/spieler/164913,Defensive Midfield,31,France,PAOK,1091,https://www.transfermarkt.com/paok-thessaloniki/startseite/verein/1091,Super League 1,GR1,€1.00m,5735829
Departure,Adrian Bajrami,582987,https://www.transfermarkt.com/adrian-bajrami/profil/spieler/582987,Centre-Back,23,Switzerland,FC Luzern,434,https://www.transfermarkt.com/fc-luzern/startseite/verein/434,Super League,C1,€900k,5957306
Departure,Ángel Di María,45320,https://www.transfermarkt.com/angel-di-maria/profil/spieler/45320,Right Winger,37,Argentina,Rosario Central,1418,https://www.transfermarkt.com/club-atletico-rosario-central/startseite/verein/1418,Torneo Clausura,ARGC,free transfer,5660941
Departure,Orkun Kökçü,454567,https://www.transfermarkt.com/orkun-kokcu/profil/spieler/454567,Central Midfield,24,Türkiye,Besiktas,114,https://www.transfermarkt.com/besiktas-istanbul/startseite/verein/114,Süper Lig,TR1,loan transfer,5770267
Departure,David Jurásek,500054,https://www.transfermarkt.com/david-jurasek/profil/spieler/500054,Left-Back,24,Czech Republic,Besiktas,114,https://www.transfermarkt.com/besiktas-istanbul/startseite/verein/114,Süper Lig,TR1,loan transfer,5737223
Departure,Tiago Gouveia,479638,https://www.transfermarkt.com/tiago-gouveia/profil/spieler/479638,Right Winger,24,Portugal,Nice,417,https://www.transfermarkt.com/ogc-nizza/startseite/verein/417,Ligue 1,FR1,loan transfer,5905939
Departure,Rafa Obrador,646747,https://www.transfermarkt.com/rafa-obrador/profil/spieler/646747,Left-Back,21,Spain,Torino,416,https://www.transfermarkt.com/fc-turin/startseite/verein/416,Serie A,IT1,loan transfer,6131071
Departure,Adrian Bajrami,582987,https://www.transfermarkt.com/adrian-bajrami/profil/spieler/582987,Centre-Back,23,Switzerland,FC Luzern,434,https://www.transfermarkt.com/fc-luzern/startseite/verein/434,Super League,C1,loan transfer,5778088
Departure,Leandro Santos,1173926,https://www.transfermarkt.com/leandro-santos/profil/spieler/1173926,Right-Back,19,Portugal,Benfica B,10330,https://www.transfermarkt.com/benfica-lissabon-b/startseite/verein/10330,Liga Portugal 2,PO2,-,6055716
Departure,Zeki Amdouni,548729,https://www.transfermarkt.com/zeki-amdouni/profil/spieler/548729,Centre-Forward,24,Switzerland,Burnley,1132,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132,Premier League,GB1,End of loan 30/06/2025,5234743
Departure,Samuel Dahl,605396,https://www.transfermarkt.com/samuel-dahl/profil/spieler/605396,Left-Back,22,Sweden,Roma,12,https://www.transfermarkt.com/as-rom/startseite/verein/12,Serie A,IT1,End of loan 30/06/2025,5501797
Departure,Renato Sanches,258027,https://www.transfermarkt.com/renato-sanches/profil/spieler/258027,Central Midfield,27,Portugal,PSG,583,https://www.transfermarkt.com/fc-paris-saint-germain/startseite/verein/583,Ligue 1,FR1,End of loan 30/06/2025,5173709
Departure,Andrea Belotti,167727,https://www.transfermarkt.com/andrea-belotti/profil/spieler/167727,Centre-Forward,31,Italy,Como,1047,https://www.transfermarkt.com/como-1907/startseite/verein/1047,Serie A,IT1,End of loan 30/06/2025,5500412
